Time (s),Voltage (V)
0.101,4.8219587443
0.222,4.6525172999
0.343,4.4707138625
0.464,4.2753947571
0.585,4.0706247137
0.706,3.8600574371
0.828,3.6470448275
0.950,3.4372408563
1.072,3.2356216175
1.193,3.0465816180
1.314,2.8723464592
1.435,2.7120586874
1.556,2.5676462944
1.677,2.4368952253
1.799,2.3197861549
1.921,2.2147128142
2.043,2.1206913953
2.164,2.0374440784
2.285,1.9637468724
2.406,1.8972557079
2.527,1.8379583539
2.648,1.7847684891
2.770,1.7366918461
2.892,1.6929338338
3.014,1.6541127466
3.135,1.6183844433
3.256,1.5861858393
3.377,1.5568970209
3.499,1.5297555510
3.621,1.5052797115
3.743,1.4828283214
3.864,1.4619526291
3.985,1.4428442500
4.106,1.4254604109
4.228,1.4087998677
4.350,1.3917338622
4.472,1.3720007529
4.593,1.3587992551
4.714,1.3462245824
4.835,1.3342846439
4.956,1.3229792562
5.077,1.3122868417
5.199,1.3021965698
5.321,1.2923372578
5.443,1.2831758467
5.564,1.2742873435
5.685,1.2659410682
5.806,1.2578551988
5.927,1.2501018687
6.048,1.2422076041
6.170,1.2347853800
6.291,1.2281553318
6.412,1.2215348280
6.534,1.2148041965
6.655,1.2085436134
6.776,1.2026558535
6.897,1.1965397457
7.018,1.1912149021
7.139,1.1856364047
7.260,1.1799942073
7.381,1.1749718543
7.503,1.1698299215
7.625,1.1645016803
7.747,1.1598357302
7.868,1.1552266066
7.989,1.1506119828
8.110,1.1461042181
8.231,1.1419187319
8.352,1.1376498718
8.474,1.1333745896
8.596,1.1294545435
8.718,1.1254760060
8.839,1.1215207378
8.960,1.1179396761
9.081,1.1139711228
9.203,1.1106413388
9.325,1.1070999913
9.447,1.1036097351
9.568,1.1005818054
9.689,1.0971928853
9.810,1.0940199665
9.931,1.0908467433
10.052,1.0876182560
10.175,1.0848877908
10.297,1.0819169275
10.419,1.0790822846
10.542,1.0762180011
10.664,1.0731802054
10.786,1.0705149749
10.908,1.0679217670
11.031,1.0654575269
11.153,1.0628815343
11.275,1.0603965075
11.398,1.0577730336
11.520,1.0555938161
11.642,1.0533394251
11.765,1.0507053740
11.887,1.0487289536
12.009,1.0466830474
12.132,1.0441098925
12.254,1.0420982458
12.376,1.0407468362
12.499,1.0378514861
12.621,1.0356741449
12.743,1.0346329932
12.866,1.0337943029
12.988,1.0302761923
13.110,1.0281564043
13.232,1.0264027139
13.355,1.0245636310
13.477,1.0227598290
13.599,1.0212142092
13.722,1.0196767245
13.844,1.0177020892
