Time (s),Voltage (V)
0.101,4.8269080148
0.223,4.6612250389
0.345,4.4827614896
0.467,4.2921203954
0.588,4.0955034049
0.709,3.8947292056
0.830,3.6955124392
0.952,3.5014649802
1.074,3.3172082315
1.196,3.1475755063
1.317,2.9952191136
1.438,2.8616282246
1.559,2.7448348246
1.680,2.6456928280
1.801,2.5618145335
1.923,2.4913749258
2.045,2.4337342332
2.167,2.3864773372
2.288,2.3483173925
2.409,2.3176330790
2.530,2.2934347240
2.652,2.2741000017
2.774,2.2588177047
2.896,2.2468889119
3.017,2.2375539933
3.138,2.2323456112
3.259,2.2274013245
3.380,2.2245815676
3.501,2.2233651253
3.623,2.2218420386
3.745,2.2200879997
3.867,2.2192082751
3.988,2.2197003923
4.109,2.2195748608
4.230,2.2202141551
4.351,2.2204269783
4.472,2.2212941298
4.594,2.2220030255
4.716,2.2226903479
4.838,2.2238305800
4.959,2.2246245262
5.080,2.2250193275
5.201,2.2205546853
5.323,2.2177177743
5.445,2.2187445443
5.567,2.2194824219
5.688,2.2198794517
5.809,2.2204407444
5.930,2.2206659357
6.051,2.2208606084
6.172,2.2216535247
6.294,2.2221749267
6.416,2.2230176872
6.538,2.2237460174
6.659,2.2247650190
6.780,2.2260889484
6.901,2.2267512011
7.022,2.2278000665
7.143,2.2283691131
7.265,2.2284165772
7.387,2.2275090564
7.509,2.2280914477
7.630,2.2286065321
7.751,2.2290472693
7.872,2.2300036022
7.994,2.2305394205
8.116,2.2310538692
8.238,2.2313307437
8.359,2.2315417291
8.480,2.2319216173
8.601,2.2318350011
8.723,2.2311260674
8.845,2.2314616795
8.967,2.2303991904
9.088,2.2305224678
9.209,2.2300742154
9.330,2.2292497686
9.451,2.2282116710
9.572,2.2288145165
9.693,2.2287774550
9.814,2.2281777112
9.936,2.2285475495
10.058,2.2284065119
10.181,2.2291546609
10.304,2.2290339291
10.426,2.2289453676
10.548,2.2291608833
10.671,2.2289083789
10.793,2.2282649418
10.915,2.2256385386
11.038,2.2252906215
11.161,2.2253772586
11.284,2.2254028491
11.407,2.2257518822
11.529,2.2253851721
11.652,2.2252264817
11.774,2.2255101816
11.896,2.2252498568
12.018,2.2253714022
12.141,2.2250995668
12.263,2.2251052318
12.385,2.2249472888
12.508,2.2251773534
12.630,2.2250542688
12.752,2.2249417808
12.875,2.2247433862
12.997,2.2247966987
13.119,2.2244832426
13.242,2.2245591549
13.364,2.2243531823
13.486,2.2241541416
13.609,2.2241497520
13.731,2.2239620063
13.853,2.2238594653
13.976,2.2238877341
14.098,2.2238821183
14.220,2.2239420848
14.343,2.2237075968
14.465,2.2236465863
14.587,2.2232802032
14.709,2.2230098615
14.832,2.2232995585
14.954,2.2230405391
15.076,2.2229713057
15.199,2.2227837108
15.321,2.2228325547
15.443,2.2224590648
15.566,2.2225080461
15.688,2.2221397325
15.810,2.2220583602
15.933,2.2220645263
16.055,2.2218849171
16.177,2.2215089405
16.300,2.2214790801
16.422,2.2211521509
16.544,2.2210077156
16.667,2.2207312373
16.789,2.2205543679
16.911,2.2205230145
17.034,2.2202549652
17.156,2.2199689814
17.278,2.2198491493
17.400,2.2196224619
17.523,2.2195971912
17.645,2.2192293283
17.767,2.2192217573
17.890,2.2190363091
18.012,2.2188601904
18.134,2.2187990209
18.257,2.2182679963
18.379,2.2183161253
18.501,2.2179260082
18.624,2.2177466898
18.746,2.2175186222
18.868,2.2174454381
18.991,2.2170971038
19.113,2.2169800666
19.235,2.2166454059
19.358,2.2166481253
19.480,2.2163822836
19.602,2.2163822836
19.724,2.2160023508
19.847,2.2159548696
19.969,2.2153836830
20.091,2.2151238301
20.214,2.2150500891
20.336,2.2146977477
20.458,2.2144807750
20.581,2.2143813976
20.703,2.2144167622
20.825,2.2138597517
20.948,2.2138819260
21.070,2.2136399198
21.192,2.2133888206
21.315,2.2131258952
21.437,2.2128617000
21.559,2.2128008451
21.682,2.2125813893
21.804,2.2124484860
21.926,2.2119911958
22.048,2.2120531387
22.171,2.2117161844
22.293,2.2115049806
22.415,2.2112765154
22.538,2.2110010939
22.660,2.2107143644
22.782,2.2106651310
22.905,2.2102546159
23.027,2.2102006016
23.149,2.2100385998
23.272,2.2096664403
23.394,2.2094526842
23.516,2.2092179128
23.639,2.2089445264
23.761,2.2088314858
23.883,2.2086891480
24.006,2.2083167753
24.128,2.2081069839
24.250,2.2078188892
24.373,2.2077135882
24.495,2.2075188426
24.617,2.2072901975
24.739,2.2070395120
24.862,2.2069780276
24.984,2.2065767146
25.106,2.2063110834
25.229,2.2062288202
25.351,2.2058618543
25.473,2.2057272389
25.596,2.2055328352
25.718,2.2054059415
25.840,2.2051695572
25.963,2.2049105427
26.085,2.2046704205
26.207,2.2043447392
26.330,2.2041381358
26.452,2.2040010138
26.574,2.2037402399
26.697,2.2034626210
26.819,2.2034473069
26.941,2.2032445229
27.064,2.2031132638
27.186,2.2028385049
27.308,2.2026649550
27.430,2.2024995704
27.553,2.2021211440
27.675,2.2020547757
27.797,2.2017463559
27.920,2.2015425211
28.042,2.2013151225
28.164,2.2011349716
28.287,2.2009093112
28.409,2.2006663765
28.531,2.2004657537
28.654,2.2000973287
28.776,2.1998867794
28.898,2.1997290631
29.021,2.1997507009
29.143,2.1994501499
29.265,2.1992443620
29.388,2.1991270437
29.510,2.1988317062
29.632,2.1984033410
29.754,2.1984140361
29.877,2.1982495568
29.999,2.1978716722
30.121,2.1976387897
30.244,2.1974348449
30.366,2.1974198916
30.488,2.1973289666
30.611,2.1969926897
30.733,2.1967725229
30.855,2.1963086158
30.978,2.1961315788
31.100,2.1960246055
31.222,2.1958060138
31.345,2.1955202038
31.467,2.1953744821
31.589,2.1950569303
31.712,2.1947914665
31.834,2.1946857920
31.956,2.1943877124
32.079,2.1943001830
32.201,2.1941072924
32.323,2.1938152878
32.445,2.1936592838
32.568,2.1934841064
32.690,2.1934489047
32.812,2.1932695951
32.935,2.1930719741
33.057,2.1929985014
33.179,2.1930107207
33.302,2.1925765966
33.424,2.1923773030
33.546,2.1920261717
33.669,2.1918355772
33.791,2.1918993521
33.913,2.1914602281
34.036,2.1913210942
34.158,2.1911307740
34.280,2.1908667447
34.403,2.1907820470
34.525,2.1905178398
34.647,2.1905073498
34.770,2.1902784813
34.893,2.1900368802
35.016,2.1898465877
35.139,2.1896357187
35.261,2.1895062769
35.384,2.1895006157
35.506,2.1892892168
35.628,2.1888470778
35.750,2.1886346411
35.873,2.1884539089
35.995,2.1883911649
36.117,2.1882573454
36.240,2.1881222925
36.362,2.1875757559
36.484,2.1874848531
36.607,2.1875846099
36.729,2.1871776931
36.851,2.1871227043
36.974,2.1868531433
37.096,2.1865936839
37.218,2.1868087502
37.341,2.1862103807
37.463,2.1860303354
37.585,2.1858462330
37.708,2.1857709549
37.830,2.1856639523
37.952,2.1855501798
38.075,2.1853383524
38.197,2.1849876587
38.319,2.1848030897
38.441,2.1847102149
38.564,2.1845714042
38.686,2.1843389126
38.808,2.1841979739
38.931,2.1841156023
39.053,2.1840083414
39.175,2.1837476977
39.298,2.1833036198
39.420,2.1833017454
39.542,2.1830027452
39.665,2.1829160517
39.787,2.1827893600
39.909,2.1825565999
40.032,2.1824588850
40.154,2.1822645782
40.276,2.1820264581
40.399,2.1818256751
40.521,2.1818348356
40.643,2.1815111513
40.765,2.1815445110
40.888,2.1811747244
41.010,2.1809794825
41.132,2.1809455196
41.255,2.1809017891
41.377,2.1805566269
41.499,2.1803410203
41.622,2.1804009529
41.744,2.1800153165
41.866,2.1797530448
41.989,2.1797022385
42.111,2.1795662906
42.233,2.1796291156
42.356,2.1791945788
42.478,2.1791062456
42.600,2.1789543896
42.723,2.1786282381
42.845,2.1786558423
42.967,2.1784944744
43.090,2.1785026879
43.212,2.1781737593
43.334,2.1782619116
43.456,2.1778872211
43.579,2.1777562098
43.701,2.1776352036
43.823,2.1774507147
43.946,2.1772444561
44.068,2.1769396267
44.190,2.1768365764
44.313,2.1767463492
44.435,2.1766242066
44.557,2.1765198683
44.680,2.1764624965
44.802,2.1761407462
44.924,2.1760861160
45.047,2.1759834951
45.169,2.1756063227
45.291,2.1756055459
45.414,2.1755181404
45.536,2.1751986182
45.658,2.1751814324
45.781,2.1750050220
45.903,2.1749079910
46.025,2.1746779685
46.147,2.1747655809
46.270,2.1745615021
46.392,2.1742289426
46.514,2.1739448939
46.637,2.1741234410
46.759,2.1738722012
46.881,2.1737948018
47.004,2.1735120659
47.126,2.1736352918
47.248,2.1732467591
47.371,2.1731681674
47.493,2.1730113386
47.615,2.1729204121
47.738,2.1728010695
47.860,2.1726752578
47.982,2.1725210845
48.105,2.1724421596
48.227,2.1722854593
48.349,2.1722951009
48.471,2.1720143516
48.594,2.1718758188
48.716,2.1717854703
48.838,2.1715392894
48.961,2.1715114502
49.083,2.1713653694
49.205,2.1712156964
49.328,2.1711962099
49.450,2.1710141374
49.572,2.1708962343
49.695,2.1706325985
49.817,2.1705003746
49.939,2.1706318519
50.062,2.1703023468
50.184,2.1702937676
50.306,2.1701168570
50.429,2.1699379782
50.551,2.1700720094
50.673,2.1696404179
50.796,2.1697851344
50.918,2.1696932299
51.040,2.1695183026
51.162,2.1693305948
51.285,2.1691887708
51.407,2.1693240920
51.529,2.1688224848
51.652,2.1689021887
51.774,2.1685775520
51.896,2.1684672210
52.019,2.1684190932
52.141,2.1681119975
52.263,2.1682992280
52.386,2.1679523739
52.508,2.1678737108
52.630,2.1678654756
52.753,2.1677749659
52.875,2.1674081563
52.997,2.1673780206
53.120,2.1673314461
53.242,2.1674177980
53.364,2.1671051327
53.486,2.1672485834
53.609,2.1669425133
53.731,2.1668806197
53.853,2.1667184416
53.976,2.1663761725
54.098,2.1663654795
54.220,2.1663562927
54.343,2.1661291661
54.465,2.1662236094
54.587,2.1659252943
54.710,2.1659899691
54.832,2.1657387716
54.954,2.1656843208
55.077,2.1654986855
55.199,2.1654054456
55.321,2.1653414499
55.444,2.1653035368
55.566,2.1652153672
55.688,2.1650798215
55.811,2.1649200627
55.933,2.1645900366
56.055,2.1647842472
56.177,2.1645703345
56.300,2.1643823802
56.422,2.1642291630
56.544,2.1640938954
56.667,2.1641094449
56.789,2.1639991405
56.911,2.1640154069
57.034,2.1637355235
57.156,2.1636052098
57.278,2.1637193537
57.401,2.1636782071
57.523,2.1634936420
57.645,2.1633819907
57.768,2.1632469693
57.890,2.1632925445
58.012,2.1630046950
58.135,2.1627816146
58.257,2.1626121187
58.379,2.1626658366
58.501,2.1625571727
58.624,2.1626355943
58.746,2.1624950414
58.868,2.1624525213
58.991,2.1621211112
59.113,2.1620322417
59.235,2.1619926061
59.358,2.1617690247
59.480,2.1617829359
59.602,2.1615588537
59.725,2.1616038988
59.847,2.1613504386
59.969,2.1615560997
60.092,2.1611426382
60.214,2.1611920398
60.336,2.1609984181
60.459,2.1611180740
60.581,2.1607375044
60.703,2.1609000353
60.825,2.1606293843
60.948,2.1604575706
61.070,2.1605019724
61.192,2.1603815258
61.315,2.1603170089
61.437,2.1601355893
61.559,2.1600661947
61.682,2.1598844064
61.804,2.1599069442
61.926,2.1597329628
62.049,2.1596223886
62.171,2.1595570897
62.293,2.1596049025
62.416,2.1595910010
62.538,2.1591686685
62.660,2.1591807891
62.783,2.1591174583
62.905,2.1591177054
63.027,2.1591904280
