Time (s),Voltage (V)
0.101,4.7303963407
0.223,4.5657461156
0.344,4.3793690497
0.465,4.1799518079
0.586,3.9715028818
0.708,3.7571352639
0.829,3.5439791674
0.950,3.3362153769
1.072,3.1366191843
1.194,2.9489868846
1.315,2.7754980606
1.436,2.6178758017
1.557,2.4745600787
1.679,2.3451156595
1.801,2.2284051480
1.923,2.1238133947
2.044,2.0305861028
2.165,1.9474561469
2.286,1.8727094169
2.407,1.8058573376
2.528,1.7455600280
2.650,1.6904013102
2.772,1.6405881743
2.894,1.5952257551
3.015,1.5534946888
3.136,1.5157725719
3.257,1.4814006980
3.379,1.4492130200
3.501,1.4195004255
3.623,1.3913178684
3.744,1.3659905567
3.865,1.3423301712
3.986,1.3200590621
4.107,1.2991282246
4.228,1.2797306274
4.350,1.2611490203
4.471,1.2434285711
4.592,1.2265291768
4.714,1.2111448149
4.835,1.1962601375
4.956,1.1823013947
5.077,1.1685968353
5.198,1.1556531047
5.319,1.1432473430
5.441,1.1316801350
5.563,1.1204451641
5.685,1.1094841131
5.806,1.0990267432
5.927,1.0889456539
6.048,1.0793467362
6.169,1.0700256158
6.290,1.0610647699
6.411,1.0523238718
6.532,1.0440061755
6.654,1.0358247546
6.776,1.0278661291
6.898,1.0202213905
7.019,1.0127572946
7.140,1.0054532770
7.261,0.9986329227
7.383,0.9915179039
7.505,0.9849492078
7.627,0.9786165546
7.748,0.9723394526
7.869,0.9662613763
7.990,0.9603342075
8.111,0.9545010528
8.232,0.9491052859
8.354,0.9436134068
8.476,0.9383360793
8.598,0.9329922639
8.719,0.9275773537
8.840,0.9226244229
8.961,0.9178365588
9.083,0.9129590580
9.205,0.9083313329
9.327,0.9038031381
9.448,0.8995008374
9.569,0.8952410267
9.690,0.8911084604
9.811,0.8870708852
9.932,0.8831115826
10.054,0.8792350451
10.177,0.8751793185
10.299,0.8715558684
10.422,0.8681771634
10.545,0.8643110052
10.668,0.8608470745
10.791,0.8573989484
10.913,0.8540873519
11.036,0.8506847401
11.158,0.8474220954
11.280,0.8444180294
11.402,0.8411160903
11.525,0.8383153123
11.647,0.8353810384
11.769,0.8326875242
11.892,0.8297628847
12.014,0.8269983031
12.136,0.8244255742
12.259,0.8216062133
12.381,0.8191307079
12.503,0.8164362684
12.626,0.8140527289
12.748,0.8115812875
12.870,0.8092277170
12.993,0.8068990947
13.115,0.8047591238
13.237,0.8024777038
13.360,0.8002886018
13.482,0.7979948100
13.604,0.7959617791
13.727,0.7938937277
13.849,0.7918930161
13.971,0.7898641352
14.093,0.7878182503
14.216,0.7861628354
14.338,0.7842499339
14.460,0.7824631297
14.583,0.7813659975
14.705,0.7797486557
14.827,0.7781696696
14.950,0.7768816705
15.072,0.7751881501
15.194,0.7733887545
15.317,0.7715949138
15.439,0.7701662222
15.561,0.7682594605
15.684,0.7664405307
15.806,0.7655120548
15.928,0.7648527831
16.051,0.7637794115
16.173,0.7630713373
16.295,0.7626539911
16.417,0.7626220565
16.540,0.7624324758
16.662,0.7626002733
16.784,0.7631177735
16.907,0.7635815334
17.029,0.7643440365
17.151,0.7647866875
17.274,0.7657554631
17.396,0.7664872400
17.518,0.7673933327
17.641,0.7681763992
17.763,0.7690656955
17.885,0.7695028840
18.008,0.7697717060
18.130,0.7704210376
18.252,0.7708247960
18.375,0.7700105244
18.497,0.7691070169
18.619,0.7681493011
18.742,0.7673316644
18.864,0.7660024022
18.986,0.7647930624
19.108,0.7631232815
19.231,0.7620217082
19.353,0.7603014259
19.475,0.7589757826
19.598,0.7573026569
19.720,0.7557009763
19.842,0.7542113914
19.965,0.7523352344
20.087,0.7508980518
20.209,0.7491647168
20.332,0.7475029149
20.454,0.7460083524
20.576,0.7438316281
20.699,0.7417276040
20.821,0.7400470513
20.943,0.7384503446
21.066,0.7370508577
21.188,0.7362110477
21.310,0.7348309128
21.432,0.7332453160
21.555,0.7321912447
21.677,0.7308172272
21.799,0.7291680437
21.922,0.7274435351
22.044,0.7268613915
22.166,0.7253014510
22.289,0.7238462479
22.411,0.7219000683
22.533,0.7201239623
22.656,0.7188706374
22.778,0.7178395517
22.900,0.7168205593
23.023,0.7158274088
23.145,0.7144346681
23.267,0.7133409013
23.390,0.7123979768
23.512,0.7114333568
23.634,0.7102054912
23.757,0.7090749895
23.879,0.7080188315
24.001,0.7072490901
24.124,0.7063156136
24.247,0.7054245592
24.370,0.7040158848
24.493,0.7033856532
24.615,0.7026664618
24.738,0.7019895892
24.860,0.7009322109
24.982,0.6998642837
25.105,0.6989449959
25.227,0.6982421875
25.349,0.6976459501
25.472,0.6967096558
25.595,0.6959576314
25.718,0.6949474146
25.841,0.6943064605
25.963,0.6934984512
26.086,0.6928025870
26.208,0.6920949401
26.330,0.6913428905
26.452,0.6904470376
26.575,0.6894632236
26.697,0.6892726882
26.819,0.6885440351
26.942,0.6881954391
27.064,0.6871033145
27.186,0.6862334431
27.309,0.6858864065
27.431,0.6852452288
27.553,0.6844860406
27.676,0.6840563753
27.798,0.6833389347
27.920,0.6827937178
28.043,0.6823368829
