Time (s),Voltage (V)
0.101,4.6611793417
0.222,4.4954188337
0.343,4.3123025951
0.464,4.1172439726
0.585,3.9137497357
0.706,3.7053136570
0.827,3.4983720287
0.948,3.2952484974
1.070,3.1026091873
1.192,2.9224041987
1.314,2.7554324699
1.435,2.6050224788
1.556,2.4692136400
1.677,2.3493254393
1.799,2.2414947109
1.921,2.1448163080
2.043,2.0600995112
2.164,1.9840953918
2.285,1.9169602503
2.406,1.8575472166
2.527,1.8045564473
2.648,1.7576596539
2.770,1.7152355756
2.892,1.6771929011
3.014,1.6441875436
3.135,1.6132371738
3.256,1.5866414950
3.377,1.5616545271
3.499,1.5403302031
3.621,1.5217162404
3.743,1.5073405857
3.864,1.4918638157
3.985,1.4764691663
4.106,1.4629352395
4.228,1.4509429463
4.349,1.4398558056
4.470,1.4288822353
4.592,1.4189521321
4.714,1.4089505499
4.835,1.4010283520
4.956,1.3918548575
5.077,1.3851595557
5.198,1.3785844001
5.319,1.3718031761
5.441,1.3662447720
5.563,1.3611535440
5.685,1.3556092332
5.806,1.3506837315
5.927,1.3460153387
6.048,1.3404270437
6.170,1.3343925721
6.292,1.3301190424
6.414,1.3256276733
6.535,1.3198786253
6.656,1.3146962332
6.777,1.3128927180
6.899,1.3109935452
7.021,1.3072407472
7.143,1.3048197997
7.264,1.3031654950
7.385,1.3005185941
7.506,1.2978474304
7.627,1.2959978283
7.748,1.2951601618
7.869,1.2924200359
7.990,1.2912849646
8.112,1.2894649671
8.234,1.2876958581
8.356,1.2859350450
8.477,1.2834235058
8.598,1.2811786919
8.719,1.2792954980
8.841,1.2790076444
8.963,1.2756320378
9.085,1.2744713469
9.206,1.2734182167
9.327,1.2731365745
9.448,1.2718617772
9.569,1.2701810068
9.690,1.2687353488
9.812,1.2664820502
9.934,1.2654504190
10.056,1.2638764621
10.179,1.2621585988
10.302,1.2604247637
10.424,1.2605766731
10.547,1.2585742624
10.670,1.2566327143
10.793,1.2555895174
10.916,1.2553618139
11.038,1.2538115130
11.161,1.2486626170
11.283,1.2457039514
11.405,1.2440690012
11.527,1.2427763016
11.650,1.2409276307
11.772,1.2394258529
11.894,1.2379582078
12.017,1.2363395883
12.139,1.2349990526
12.262,1.2336211527
12.385,1.2325037098
12.508,1.2307334233
12.631,1.2293974790
12.753,1.2282470359
12.875,1.2273925506
12.998,1.2264306723
13.120,1.2253118389
13.242,1.2241180644
13.365,1.2226382363
13.487,1.2217802362
13.609,1.2202418328
13.732,1.2188853759
13.854,1.2180131016
13.976,1.2170637360
14.099,1.2164971920
14.221,1.2155255532
14.343,1.2148894661
14.466,1.2137214401
14.588,1.2129581166
14.710,1.2114648878
14.833,1.2107846562
14.955,1.2100490898
15.077,1.2090642630
15.199,1.2084120973
15.322,1.2078042028
15.444,1.2065574312
15.566,1.2058894485
15.689,1.2055866035
15.811,1.2051084274
15.933,1.2036325591
16.056,1.2029555072
16.178,1.2023233648
16.300,1.2016028734
16.423,1.2008498113
16.545,1.2000988959
16.667,1.1993556230
16.790,1.1983551827
16.912,1.1977931616
17.034,1.1972144009
17.157,1.1967803460
17.279,1.1956100141
17.401,1.1953747400
17.524,1.1948479641
17.646,1.1938924211
17.768,1.1931899572
17.890,1.1928534683
18.013,1.1924051932
18.135,1.1918015581
18.257,1.1911583915
18.380,1.1905860794
18.502,1.1900247377
18.624,1.1891617536
18.747,1.1889047980
18.869,1.1879559128
18.991,1.1875823441
19.114,1.1872057757
19.236,1.1867107612
19.358,1.1859313311
19.481,1.1854125908
19.603,1.1849780170
19.725,1.1843532986
19.848,1.1840506437
19.970,1.1835303905
20.092,1.1830868741
20.214,1.1822051916
20.337,1.1821496493
20.459,1.1812797514
20.581,1.1807235485
20.704,1.1801203754
20.826,1.1799009939
20.948,1.1793479339
21.071,1.1792442531
21.193,1.1780897391
21.315,1.1780425457
21.438,1.1774865497
21.560,1.1764837139
21.682,1.1765581487
21.805,1.1759212658
21.927,1.1757964012
22.049,1.1753133482
22.172,1.1751147420
22.294,1.1740126939
22.416,1.1739941902
22.539,1.1734675775
22.661,1.1729135446
22.783,1.1728680911
22.905,1.1721380054
23.028,1.1719323164
23.150,1.1715168812
23.272,1.1708284863
23.395,1.1709156324
23.517,1.1705623568
23.639,1.1696373885
23.762,1.1692766560
23.884,1.1691477874
24.006,1.1685330412
24.129,1.1685629301
24.251,1.1676381788
24.373,1.1674094160
24.496,1.1672828636
24.618,1.1666161627
24.740,1.1668420954
24.863,1.1658772468
24.985,1.1657539228
25.107,1.1654343706
25.229,1.1644778007
25.352,1.1648100698
25.474,1.1643255796
25.596,1.1635731172
25.719,1.1632133983
25.841,1.1628393865
25.963,1.1629286851
26.086,1.1627807958
26.208,1.1618765978
26.330,1.1617844050
26.453,1.1611336313
26.575,1.1606135402
26.697,1.1605203266
26.820,1.1602465916
26.942,1.1603050071
27.064,1.1590951402
27.187,1.1594100449
27.309,1.1592554434
27.431,1.1587550233
27.554,1.1584506773
27.676,1.1582224083
27.798,1.1574676040
27.920,1.1573546227
28.043,1.1573957824
28.165,1.1565998545
28.287,1.1564788560
28.410,1.1559205671
28.532,1.1559896752
28.654,1.1555962043
28.777,1.1553010040
28.899,1.1550737174
29.021,1.1546694889
29.144,1.1545163150
29.266,1.1542927429
29.388,1.1541076763
29.511,1.1539977379
29.633,1.1533051613
29.755,1.1532759734
29.878,1.1533454225
30.000,1.1525544892
30.122,1.1520890065
30.245,1.1521622480
30.367,1.1520572549
30.489,1.1515049255
30.611,1.1515382099
30.734,1.1515072033
30.856,1.1509181616
30.978,1.1506238874
31.101,1.1539977379
31.223,1.1545324070
31.345,1.1538777187
31.468,1.1536565688
31.590,1.1534456541
31.712,1.1534122955
31.835,1.1528254808
31.957,1.1527610962
32.079,1.1523286031
32.202,1.1515576963
32.324,1.1511275234
32.446,1.1513275301
32.569,1.1508589820
32.691,1.1507446117
32.813,1.1508699533
32.935,1.1509929212
33.058,1.1507771014
33.180,1.1504558944
33.303,1.1502476069
33.426,1.1506825026
33.549,1.1505374232
33.672,1.1511018944
33.794,1.1499016551
33.916,1.1499436535
34.039,1.1494943055
34.161,1.1493465709
34.283,1.1494561984
34.406,1.1496621607
34.528,1.1493038721
34.650,1.1534095416
34.773,1.1549843990
34.895,1.1546040308
35.017,1.1541558711
35.140,1.1545040329
35.262,1.1543354416
35.384,1.1542646534
35.507,1.1541082767
35.629,1.1534938624
35.751,1.1531148653
35.874,1.1530274529
35.996,1.1531178376
36.118,1.1527540935
36.241,1.1526494375
36.363,1.1529401556
36.485,1.1524952618
36.607,1.1521165464
36.730,1.1520148630
36.852,1.1518093265
36.974,1.1513853638
37.097,1.1511960571
37.219,1.1506178927
37.341,1.1506376573
37.464,1.1507279730
37.586,1.1503975119
37.708,1.1502052819
37.831,1.1502189487
37.953,1.1495779707
38.075,1.1496186835
38.198,1.1495543512
38.320,1.1494416101
38.442,1.1491326054
38.565,1.1487300866
38.687,1.1487487879
38.809,1.1488204117
38.931,1.1481384174
39.054,1.1481323583
39.176,1.1477846218
39.298,1.1475889977
39.421,1.1477270494
39.543,1.1471895936
39.665,1.1470781338
39.788,1.1472275778
39.910,1.1468369843
40.032,1.1466622823
40.155,1.1465506983
40.277,1.1463094477
40.399,1.1461720733
40.522,1.1461740476
40.644,1.1455863232
40.766,1.1458553652
40.889,1.1457605506
41.011,1.1451910151
41.133,1.1453866031
41.255,1.1449947454
41.378,1.1449008044
41.500,1.1445863452
41.622,1.1443764761
41.745,1.1441488676
41.867,1.1440050908
41.989,1.1437224051
42.112,1.1436316553
42.234,1.1436455946
42.356,1.1434043200
42.479,1.1433737314
42.601,1.1429224700
42.723,1.1428397534
42.846,1.1429738812
42.968,1.1427351463
43.090,1.1423275125
43.213,1.1424129991
43.335,1.1422516859
43.457,1.1420631301
43.580,1.1415477942
43.702,1.1417709803
43.824,1.1414748435
43.946,1.1415660361
44.069,1.1413417281
44.191,1.1411112152
44.313,1.1408128217
44.436,1.1408872908
44.558,1.1402407109
44.680,1.1403432675
44.803,1.1400316387
44.925,1.1399803861
45.047,1.1400114125
45.170,1.1397423272
45.292,1.1395561530
45.414,1.1397305062
45.537,1.1391282228
45.659,1.1393399044
45.781,1.1389580139
45.904,1.1392278442
46.026,1.1385823453
46.148,1.1384085942
46.271,1.1385264005
46.393,1.1380685825
