Time (s),Voltage (V)
0.101,4.8868897724
0.223,4.7186790765
0.345,4.5381827754
0.466,4.3435792049
0.587,4.1369990265
0.708,3.9167233987
0.830,3.6917268594
0.952,3.4810388661
1.074,3.2785344470
1.195,3.0986273030
1.316,2.9309815073
1.437,2.7726744314
1.558,2.6252254876
1.679,2.4914117029
1.801,2.3721205186
1.923,2.2655649878
2.045,2.1699696120
2.166,2.0862198629
2.287,2.0116939711
2.408,1.9460445088
2.530,1.8874560151
2.652,1.8349813962
2.774,1.7883969099
2.895,1.7473485433
3.016,1.7099383612
3.137,1.6765759983
3.258,1.6468775330
3.379,1.6196134839
3.501,1.5949961472
3.623,1.5727034414
3.745,1.5515859593
3.866,1.5327017586
3.987,1.5159391409
4.108,1.5003402129
4.229,1.4857309544
4.350,1.4725246096
4.472,1.4603238400
4.594,1.4487045544
4.716,1.4381274005
4.837,1.4278803773
4.958,1.4184054086
5.079,1.4096608084
5.201,1.4011175215
5.323,1.3927718008
5.445,1.3855689704
5.566,1.3783153539
5.687,1.3714439579
5.808,1.3654630201
5.929,1.3591894339
6.050,1.3532523442
6.172,1.3476098640
6.294,1.3422742449
6.416,1.3370545457
6.537,1.3321621011
6.658,1.3274532175
6.779,1.3227284247
6.900,1.3184378414
7.021,1.3138387113
7.143,1.3096265215
7.265,1.3058331878
7.387,1.3018996596
7.508,1.2981669825
7.629,1.2944202407
7.750,1.2909365857
7.872,1.2875836040
7.994,1.2843365376
8.116,1.2808244588
8.237,1.2775710177
8.358,1.2748297967
8.479,1.2713764189
8.601,1.2687085800
8.723,1.2658295871
8.845,1.2629558201
8.966,1.2603551437
9.087,1.2577709266
9.208,1.2551789492
9.329,1.2525591058
9.450,1.2502106797
9.572,1.2475797403
9.694,1.2451526493
9.816,1.2425707599
9.937,1.2405759653
10.058,1.2380813672
10.181,1.2359586739
10.304,1.2338040194
10.426,1.2316612248
10.549,1.2297058958
10.671,1.2274894768
10.793,1.2257236367
10.916,1.2237054133
11.039,1.2217656141
11.162,1.2200564491
11.285,1.2182658128
11.407,1.2163903871
11.530,1.2146098444
11.652,1.2128782286
11.774,1.2112033344
11.896,1.2095467384
12.019,1.2080211863
12.141,1.2062158410
12.263,1.2048470658
12.386,1.2031288211
12.508,1.2017421104
12.630,1.2002327667
12.753,1.1985789897
12.875,1.1971168679
12.997,1.1958291473
13.120,1.1943484925
13.242,1.1927808754
13.364,1.1915783740
13.487,1.1903267909
13.609,1.1887713218
13.731,1.1874928396
13.854,1.1862900778
13.976,1.1850468860
14.098,1.1835931992
14.221,1.1825399468
14.343,1.1812811288
14.465,1.1800277129
14.587,1.1789031655
14.710,1.1776325701
14.832,1.1766517542
14.954,1.1753890828
15.077,1.1742004087
15.199,1.1730182255
15.321,1.1719135558
15.444,1.1710370886
15.566,1.1697717406
15.688,1.1686721174
15.811,1.1676049272
15.933,1.1667263531
16.055,1.1656454896
16.178,1.1645071116
16.300,1.1635473598
16.422,1.1626822035
16.545,1.1620820815
16.667,1.1606011438
16.789,1.1596121849
16.911,1.1584754940
17.034,1.1577737978
17.156,1.1568229901
17.278,1.1560354647
17.401,1.1550089632
17.523,1.1539401336
17.645,1.1531107344
17.768,1.1523915137
17.890,1.1515214541
18.012,1.1507230308
18.135,1.1495639040
18.257,1.1487611843
18.379,1.1480613059
18.502,1.1472112017
18.624,1.1465601309
18.746,1.1455730819
18.869,1.1447397726
18.991,1.1440078456
19.113,1.1432599282
19.235,1.1424239019
19.358,1.1417511310
19.480,1.1407833987
19.602,1.1401711435
19.725,1.1392073741
19.847,1.1385065894
19.969,1.1377572771
20.092,1.1371221484
20.214,1.1363978204
20.336,1.1355802533
20.459,1.1348895376
20.581,1.1340301040
20.703,1.1334624401
20.826,1.1327292547
20.948,1.1321596218
21.070,1.1313349879
21.193,1.1308296251
21.315,1.1299682101
21.437,1.1292653694
21.560,1.1285410626
21.682,1.1279172911
21.804,1.1272341105
21.926,1.1267991773
22.049,1.1261487847
22.171,1.1254035724
22.293,1.1247667376
22.416,1.1240144306
22.538,1.1236446580
22.660,1.1229807794
22.783,1.1225050984
22.905,1.1217727984
23.027,1.1210144353
23.150,1.1204266961
23.272,1.1197384080
23.394,1.1191830363
23.517,1.1186239585
23.639,1.1180125507
23.761,1.1175705791
23.884,1.1169317596
24.006,1.1161613518
24.128,1.1157460651
24.251,1.1151413041
24.373,1.1146104218
24.495,1.1141669054
24.617,1.1135415014
24.740,1.1131502411
24.862,1.1126023931
24.985,1.1120052775
25.108,1.1115613543
25.231,1.1108582617
25.354,1.1102816911
25.476,1.1097716855
25.598,1.1091323741
25.721,1.1086809255
25.843,1.1081739245
25.965,1.1076906638
26.088,1.1073189784
26.210,1.1067758837
26.332,1.1062159057
26.455,1.1055981213
26.577,1.1052139347
26.699,1.1047535405
26.822,1.1042020573
26.944,1.1038572153
27.066,1.1032457346
27.189,1.1029219907
27.311,1.1023517388
27.433,1.1019775253
27.556,1.1012939317
27.678,1.1006685803
27.800,1.1003485441
27.923,1.0997573059
28.045,1.0994110323
28.167,1.0990088373
28.289,1.0985846178
28.412,1.0982002101
28.534,1.0978435737
28.656,1.0973053925
28.779,1.0967918639
28.901,1.0964166079
29.023,1.0958141105
29.146,1.0953453068
29.268,1.0949290374
29.390,1.0945445242
29.513,1.0941239214
29.635,1.0936838858
29.757,1.0932432671
29.880,1.0930158040
30.002,1.0924042996
30.124,1.0919833197
30.247,1.0915897171
30.369,1.0910544671
30.491,1.0905925581
30.614,1.0902059351
30.736,1.0897914096
30.858,1.0894580836
30.980,1.0890696053
31.103,1.0886611213
31.225,1.0883079712
31.347,1.0879377181
31.470,1.0873824195
31.592,1.0869719125
31.714,1.0865621034
31.837,1.0859658853
31.959,1.0856551371
32.081,1.0852525843
32.204,1.0849724008
32.326,1.0845036473
32.448,1.0841854158
32.571,1.0837728501
32.693,1.0833122135
32.815,1.0831347711
32.938,1.0827384254
33.060,1.0823948783
33.182,1.0818425489
33.304,1.0815842785
33.427,1.0811526713
33.549,1.0807433996
33.671,1.0804482604
33.794,1.0800199898
