Time (s),Voltage (V)
0.101,4.8125647369
0.222,4.6472646338
0.343,4.4695764281
0.464,4.2791209451
0.585,4.0805785238
0.707,3.8748657534
0.829,3.6676918754
0.951,3.4621104661
1.072,3.2625438007
1.193,3.0734296809
1.314,2.8966892714
1.436,2.7336955810
1.558,2.5841071273
1.680,2.4497834104
1.801,2.3290065233
1.922,2.2217196090
2.043,2.1257988805
2.164,2.0402433505
2.285,1.9634484639
2.406,1.8952814989
2.527,1.8343250427
2.649,1.7792414846
2.771,1.7298195269
2.892,1.6857727653
3.013,1.6458836252
3.134,1.6102110697
3.255,1.5778918034
3.376,1.5483803273
3.498,1.5217253095
3.620,1.4977359026
3.742,1.4755504757
3.863,1.4558522126
3.984,1.4382009665
4.105,1.4217469036
4.226,1.4066698641
4.347,1.3922721574
4.469,1.3801046469
4.590,1.3684907761
4.711,1.3578900522
4.833,1.3480231429
4.955,1.3391372425
5.076,1.3307007008
5.197,1.3186704874
5.318,1.3114620237
5.440,1.3045322432
5.561,1.2978744077
5.682,1.2923975739
5.804,1.2877149529
5.925,1.2818835949
6.046,1.2766482899
6.167,1.2713369953
6.288,1.2672860097
6.409,1.2648812147
6.530,1.2606204958
6.651,1.2570612133
6.773,1.2536563111
6.894,1.2503633209
7.015,1.2473286361
7.137,1.2435432306
7.258,1.2406875331
7.379,1.2375651409
7.500,1.2358873634
7.621,1.2332508656
7.742,1.2304935428
7.863,1.2285373753
7.984,1.2262413855
8.106,1.2237059387
8.228,1.2217233328
8.350,1.2195969907
8.471,1.2174111865
8.592,1.2154665254
8.713,1.2137542423
8.834,1.2126169562
8.955,1.2114993126
9.077,1.2094354110
9.199,1.2073776842
9.321,1.2064270361
9.442,1.2043302076
9.563,1.2026255683
9.684,1.2008137562
9.805,1.1998324398
9.926,1.1986492262
10.048,1.1967024439
10.171,1.1946814736
10.293,1.1933505623
10.416,1.1921104231
10.538,1.1910922073
10.660,1.1901118778
10.783,1.1890317129
10.905,1.1881377270
11.027,1.1870027658
11.149,1.1861199789
11.272,1.1851246441
11.394,1.1839656426
11.516,1.1829143423
11.639,1.1820200051
11.761,1.1806585530
11.883,1.1796123163
12.006,1.1783230964
12.128,1.1772743300
12.250,1.1759178476
12.373,1.1745074610
12.495,1.1732661539
12.617,1.1721820691
12.740,1.1713919045
12.862,1.1699907440
12.984,1.1687450979
13.107,1.1677031840
13.229,1.1665707092
13.351,1.1651194788
13.474,1.1644033962
13.596,1.1627705175
13.718,1.1616507074
13.840,1.1601705707
13.963,1.1585079937
14.085,1.1581976155
14.207,1.1570654545
14.330,1.1587331654
14.452,1.1572541101
14.574,1.1559404523
14.697,1.1558468746
14.819,1.1554538743
14.941,1.1548250890
15.064,1.1540959946
15.186,1.1530751388
15.308,1.1523547659
15.431,1.1513598182
15.553,1.1510255972
15.675,1.1488737310
15.798,1.1486577588
15.920,1.1485573321
16.042,1.1478893027
16.164,1.1472172100
16.287,1.1464810998
16.409,1.1457860433
16.531,1.1448336374
16.654,1.1436098204
16.776,1.1427723356
16.898,1.1424569497
17.021,1.1411888843
17.143,1.1392186949
17.265,1.1374736168
17.388,1.1355104654
17.510,1.1330053332
17.632,1.1303049981
17.755,1.1280183915
17.877,1.1257672007
17.999,1.1229711405
18.122,1.1208197230
18.244,1.1183913302
18.366,1.1162583060
18.489,1.1141218907
18.611,1.1120347210
18.733,1.1101711257
18.855,1.1083557508
18.978,1.1063882690
19.100,1.1046368124
