Time (s),Voltage (V)
0.101,4.8017407378
0.223,4.6391928902
0.344,4.4663175467
0.465,4.2868299245
0.586,4.1023365876
0.707,3.9187977406
0.828,3.7423706916
0.949,3.5772816927
1.070,3.4286046337
1.192,3.2986079278
1.314,3.1890016694
1.436,3.0983668492
1.557,3.0259980496
1.678,2.9688670113
1.799,2.9253279443
1.921,2.8912498472
2.043,2.8662968641
2.165,2.8469606538
2.286,2.8328549233
2.407,2.8230613018
2.528,2.8160058208
2.650,2.8106813945
2.772,2.8076717593
2.894,2.8051771452
3.015,2.8040167159
3.136,2.8035933756
3.257,2.8027619226
3.378,2.8033373273
3.499,2.8050367051
3.621,2.8092229629
3.743,2.8057663561
3.865,2.8102399943
3.986,2.8118622730
4.107,2.8132048210
4.228,2.8144393512
4.349,2.8160433773
4.470,2.8177821401
4.592,2.8190063238
4.714,2.8179870264
4.836,2.8187576379
4.957,2.8200893644
5.078,2.8211904977
5.199,2.8223179654
5.320,2.8241653378
5.441,2.8258719662
5.563,2.8261797879
5.685,2.8282654832
5.807,2.8288887919
5.928,2.8292351684
6.049,2.8326218129
6.170,2.8328025829
6.291,2.8328985102
6.412,2.8336079055
6.534,2.8345415532
6.656,2.8357260933
6.778,2.8362702950
6.899,2.8369278363
7.020,2.8376904669
7.141,2.8388239500
7.263,2.8389004763
7.385,2.8398860313
7.507,2.8406648263
7.628,2.8417941202
7.749,2.8411402351
7.870,2.8387344455
7.992,2.8383711298
8.114,2.8394877684
8.236,2.8408830525
8.357,2.8409938624
8.478,2.8398544875
8.599,2.8411770539
8.720,2.8423736719
8.841,2.8428574577
8.962,2.8433703328
9.083,2.8434533960
9.205,2.8403821009
9.327,2.8395696033
9.449,2.8411667467
9.570,2.8423257890
9.691,2.8417418109
9.812,2.8431256720
9.934,2.8437573672
10.056,2.8431894313
10.179,2.8446277875
10.302,2.8458254000
10.425,2.8465801218
10.548,2.8477247376
10.671,2.8473415556
10.793,2.8440565183
10.916,2.8434112873
11.038,2.8446315233
11.160,2.8463463615
11.282,2.8464221901
11.405,2.8470481502
11.527,2.8470653539
11.649,2.8472938258
11.772,2.8478765088
11.894,2.8478931594
12.016,2.8478762933
12.139,2.8484196500
12.261,2.8487925886
12.383,2.8492133522
12.506,2.8492493733
12.628,2.8484496209
12.750,2.8485482652
12.873,2.8528562133
12.995,2.8529798241
13.117,2.8500643331
13.240,2.8492166211
13.362,2.8493338990
13.484,2.8502956677
13.607,2.8522571203
13.729,2.8542718067
13.851,2.8544150542
13.973,2.8542958285
14.096,2.8546343868
14.218,2.8556273794
14.341,2.8528289198
14.464,2.8530314355
14.587,2.8544261556
14.710,2.8525518905
14.832,2.8535205822
14.955,2.8540448465
15.077,2.8547855695
15.199,2.8549457686
15.322,2.8548636524
15.445,2.8550295697
15.568,2.8554261840
15.691,2.8556224126
15.813,2.8559014008
15.936,2.8562624458
16.058,2.8563075745
16.180,2.8565678648
16.303,2.8562324230
16.425,2.8564039911
16.547,2.8566698255
16.669,2.8562181089
16.792,2.8564753354
16.914,2.8565995791
17.036,2.8562663036
17.159,2.8563006568
17.281,2.8567772611
17.403,2.8565279320
17.526,2.8566472846
17.648,2.8568778099
17.770,2.8566986790
17.893,2.8563579732
18.015,2.8557194332
18.137,2.8565458329
18.260,2.8566486493
18.382,2.8571298704
18.504,2.8568336242
18.627,2.8572450129
18.749,2.8575348202
18.871,2.8572441930
18.993,2.8573775359
