Time (s),Voltage (V)
0.101,4.8058727414
0.222,4.6393633198
0.343,4.4607155915
0.464,4.2683150234
0.585,4.0667674707
0.706,3.8582577090
0.828,3.6467515040
0.950,3.4378873516
1.072,3.2358507551
1.193,3.0456298484
1.314,2.8693812553
1.435,2.7070582390
1.557,2.5590275959
1.679,2.4244500698
1.801,2.3040982891
1.922,2.1968923550
2.043,2.1012200011
2.164,2.0157090202
2.285,1.9397457909
2.406,1.8712353047
2.528,1.8099162978
2.649,1.7548605178
2.770,1.7050627027
2.892,1.6604658585
3.013,1.6198265603
3.134,1.5833004784
3.255,1.5498887077
3.376,1.5195004141
3.497,1.4918059657
3.618,1.4664874145
3.739,1.4433186160
3.861,1.4217252004
3.982,1.4015034328
4.103,1.3833285965
4.225,1.3659163321
4.346,1.3504013686
4.467,1.3357279810
4.588,1.3218069574
4.709,1.3089502903
4.830,1.2966064109
4.951,1.2852892299
5.072,1.2745269758
5.194,1.2643196424
5.316,1.2544409043
5.438,1.2450612670
5.559,1.2361600846
5.680,1.2277430751
5.801,1.2196563161
5.922,1.2120566786
6.043,1.2048608357
6.165,1.1975810500
6.287,1.1908634122
6.409,1.1843057132
6.530,1.1782687985
6.651,1.1719975177
6.772,1.1661079095
6.893,1.1605937346
7.014,1.1549765581
7.136,1.1499535048
7.258,1.1447412928
7.380,1.1397248167
7.501,1.1349336654
7.622,1.1303015753
7.743,1.1257306318
7.865,1.1215202287
7.987,1.1172516040
8.109,1.1131053051
8.230,1.1088970491
8.351,1.1052528986
8.472,1.1013903275
8.593,1.0977146180
8.714,1.0941149028
8.836,1.0904702344
8.958,1.0870804600
9.080,1.0838834454
9.201,1.0803508463
9.322,1.0774950663
9.443,1.0742283889
9.565,1.0712677795
9.687,1.0683361885
9.809,1.0654637854
9.930,1.0625261702
10.051,1.0599240996
10.174,1.0581664527
10.297,1.0571753053
10.419,1.0544189866
10.542,1.0521437430
10.664,1.0496834781
10.786,1.0471278157
10.909,1.0445861646
11.031,1.0422690409
11.153,1.0407043371
11.275,1.0390765453
11.398,1.0373779433
11.520,1.0356121628
11.642,1.0349180304
11.765,1.0337724680
11.887,1.0325213218
12.009,1.0318817638
12.132,1.0311686653
12.254,1.0304290815
12.376,1.0296937240
12.499,1.0288418919
12.621,1.0279250044
12.743,1.0272357939
12.866,1.0267198199
12.988,1.0263768292
13.110,1.0259469296
13.233,1.0253592374
13.355,1.0246840290
13.477,1.0239912068
13.599,1.0234766066
13.722,1.0227349645
13.844,1.0221138377
13.966,1.0213780712
14.089,1.0209813552
14.211,1.0205243411
14.333,1.0199019362
14.456,1.0192550395
14.578,1.0185588196
14.700,1.0173558785
14.823,1.0150218130
14.945,1.0139308225
15.067,1.0125598165
15.190,1.0105988965
15.312,1.0090659159
15.434,1.0068026143
15.557,1.0040170617
15.679,1.0015481752
15.801,0.9998336594
15.924,0.9974884494
16.046,0.9958458216
16.168,0.9938086764
16.290,0.9917190474
16.413,0.9899445177
16.535,0.9880622466
16.657,0.9863432719
16.780,0.9844489655
16.902,0.9826202177
17.024,0.9812070929
17.147,0.9795320361
17.269,0.9778338218
17.391,0.9762857247
17.514,0.9747324688
17.636,0.9733049960
17.758,0.9717623070
17.881,0.9705893110
18.003,0.9692554985
18.125,0.9677098205
18.248,0.9662414517
18.370,0.9652376807
18.492,0.9636385424
18.614,0.9624565972
18.737,0.9613982148
18.859,0.9600422029
18.981,0.9587924224
19.104,0.9576412604
19.226,0.9566648669
19.348,0.9554518405
19.471,0.9542964383
19.593,0.9533894570
19.715,0.9523673792
19.838,0.9511645057
19.960,0.9501388399
20.082,0.9491920364
20.205,0.9483041438
20.327,0.9471609441
20.449,0.9462617981
20.572,0.9454833575
20.694,0.9444530148
20.816,0.9434819618
20.938,0.9426416869
21.061,0.9417509673
21.183,0.9407919385
21.305,0.9402374595
21.428,0.9391635406
21.550,0.9383360697
21.672,0.9376239293
21.795,0.9367753568
21.917,0.9361474127
22.039,0.9350517088
22.162,0.9343134804
22.284,0.9336516000
22.406,0.9330041222
22.529,0.9318584274
22.651,0.9311819574
22.773,0.9304167548
22.896,0.9295248306
23.018,0.9288707136
23.140,0.9282755327
23.263,0.9275665198
23.385,0.9267839827
23.507,0.9261297272
23.629,0.9253824732
23.752,0.9246788643
23.874,0.9239121452
23.996,0.9232619060
24.119,0.9227519411
24.241,0.9221711367
24.363,0.9213768044
24.486,0.9206394219
24.608,0.9202083701
24.730,0.9194889488
24.853,0.9190359270
24.975,0.9182221879
25.097,0.9177332844
25.220,0.9171035451
25.342,0.9164191974
25.464,0.9157283845
25.587,0.9151547871
25.709,0.9146134520
25.831,0.9139906210
25.954,0.9134421181
26.076,0.9127677627
26.198,0.9123958701
26.320,0.9117006839
26.443,0.9111358148
26.565,0.9106162950
26.687,0.9099684283
26.810,0.9095118498
26.932,0.9091094411
27.054,0.9084096738
27.177,0.9078551325
27.299,0.9075392278
27.421,0.9068261333
27.544,0.9061410988
27.666,0.9057582753
27.788,0.9053210814
27.911,0.9048801377
28.033,0.9041701560
28.155,0.9038091445
