Time (s),Voltage (V)
0.101,4.9058334398
0.223,4.7416542096
0.344,4.5650536627
0.465,4.3765610683
0.586,4.1779520011
0.707,3.9724343415
0.828,3.7651964802
0.950,3.5599877868
1.072,3.3614849751
1.194,3.1743886937
1.315,3.0024558687
1.436,2.8473225613
1.557,2.7084366077
1.679,2.5852329780
1.801,2.4773222002
1.923,2.3838681695
2.044,2.3039285636
2.165,2.2363350080
2.286,2.1786820125
2.407,2.1299744943
2.528,2.0889142806
2.650,2.0543024959
2.772,2.0249950899
2.894,2.0007337858
3.015,1.9805114488
3.136,1.9639258308
3.257,1.9500520650
3.378,1.9384490304
3.499,1.9289477801
3.621,1.9209958482
3.743,1.9144157538
3.865,1.9089628252
3.986,1.9045034820
4.107,1.9008718856
4.228,1.8978869787
4.350,1.8954657922
4.472,1.8936665285
4.594,1.8920393789
4.715,1.8908481356
4.836,1.8900036012
4.957,1.8894266793
5.078,1.8888321116
5.199,1.8884931415
5.321,1.8881367984
5.443,1.8880458384
5.565,1.8879299057
5.686,1.8879473731
5.807,1.8880240454
5.928,1.8880951909
6.050,1.8882131990
6.172,1.8882927069
6.294,1.8884468292
6.415,1.8886277988
6.536,1.8889023184
6.657,1.8889528605
6.778,1.8890895365
6.899,1.8891444585
7.021,1.8893837642
7.143,1.8895011348
7.265,1.8895079543
7.386,1.8896759851
7.507,1.8896098926
7.628,1.8896911363
7.749,1.8898590578
7.870,1.8897489579
7.992,1.8897998743
8.114,1.8898598442
8.236,1.8897343641
8.357,1.8900313492
8.478,1.8897090081
8.599,1.8897737437
8.721,1.8896920949
8.843,1.8895092794
8.965,1.8894697648
9.086,1.8894073960
9.207,1.8892588587
9.328,1.8890988628
9.449,1.8890509916
9.570,1.8888015876
9.692,1.8886183946
9.814,1.8883963644
9.936,1.8882190555
10.057,1.8880066004
10.179,1.8876917323
10.302,1.8875632118
10.424,1.8871994557
10.546,1.8871106418
10.669,1.8867703348
10.791,1.8863496121
10.913,1.8860971760
11.036,1.8859406115
11.158,1.8855617507
11.280,1.8853771818
11.402,1.8850671862
11.525,1.8848120240
11.647,1.8845618302
11.770,1.8842224838
11.893,1.8838531665
12.016,1.8835691381
12.139,1.8831116371
12.261,1.8828998013
12.384,1.8824743332
12.506,1.8821623766
12.628,1.8816797866
12.751,1.8814330850
12.874,1.8811144269
12.997,1.8806072532
13.120,1.8803372498
13.242,1.8799544161
13.365,1.8800725025
13.487,1.8793332378
13.609,1.8789434393
13.731,1.8785209677
13.854,1.8782042604
13.976,1.8778029685
14.098,1.8772596433
14.221,1.8769774162
14.343,1.8764627777
14.465,1.8760231048
14.588,1.8758474641
14.710,1.8755275366
14.832,1.8750358018
14.955,1.8747680050
15.077,1.8742479505
15.199,1.8739355854
15.322,1.8736012066
