Time (s),Voltage (V)
0.101,4.8674120130
0.222,4.7395920518
0.343,4.6022008733
0.465,4.4634881863
0.587,4.3267147128
0.709,4.1970746770
0.830,4.0791539029
0.951,3.9758703438
1.072,3.8882917181
1.193,3.8162834570
1.314,3.7589215291
1.436,3.7137124764
1.558,3.6783767785
1.680,3.6521568938
1.801,3.6324736645
1.922,3.6182659312
2.043,3.6082000948
2.164,3.6013460979
2.285,3.5981343415
2.407,3.5949069223
2.529,3.5940759755
2.651,3.5919114438
2.772,3.5919511416
2.893,3.5913258013
3.014,3.5922050153
3.136,3.5919736877
3.257,3.5927990351
3.378,3.5941080178
3.500,3.5948083973
3.621,3.5968615017
3.742,3.5967055676
3.863,3.5977251190
3.984,3.5987814857
4.105,3.5997595094
4.226,3.6006261343
4.347,3.6016993730
4.469,3.6025906329
4.591,3.6035497229
4.713,3.6047158694
4.834,3.6052745394
4.955,3.6058159294
5.076,3.6061243829
5.197,3.6072186883
5.318,3.6082221826
5.440,3.6090587564
5.562,3.6097582599
5.684,3.6104674952
5.805,3.6109603645
5.926,3.6115880277
6.047,3.6124093684
6.168,3.6129839037
6.289,3.6133969173
6.411,3.6143836005
6.533,3.6148388399
6.655,3.6153775860
6.776,3.6158768793
6.898,3.6168106817
7.020,3.6173948149
7.142,3.6179703867
7.263,3.6183816886
7.384,3.6187986767
7.505,3.6194436486
7.626,3.6199412576
7.747,3.6202749907
7.869,3.6211518690
7.990,3.6217119460
8.111,3.6218089595
8.233,3.6221917009
8.355,3.6227713644
8.476,3.6232397082
8.597,3.6234543496
8.718,3.6238829447
8.839,3.6240614318
8.960,3.6245202561
9.082,3.6242324475
9.204,3.6245676392
9.326,3.6250081835
9.447,3.6256156889
9.568,3.6257959521
9.689,3.6260198000
9.811,3.6263880339
9.933,3.6263298163
10.055,3.6268590149
10.178,3.6273730551
10.301,3.6279883686
10.423,3.6288869667
10.545,3.6291483251
10.668,3.6297242371
10.790,3.6299599458
10.912,3.6303008672
11.035,3.6303260594
11.157,3.6305315585
11.279,3.6308984816
11.402,3.6313891424
11.524,3.6312973819
11.646,3.6314974729
11.769,3.6317712518
11.891,3.6317367661
12.013,3.6319780430
12.136,3.6321629140
12.258,3.6324392300
12.380,3.6328083690
12.503,3.6328711811
12.625,3.6333662068
12.747,3.6336788721
