Time (s),Voltage (V)
0.101,4.8301845103
0.222,4.6529718353
0.343,4.4624735141
0.464,4.2608349967
0.586,4.0497465685
0.707,3.8331660773
0.828,3.6182962537
0.950,3.4078580547
1.071,3.2063880135
1.192,3.0189189368
1.313,2.8467320279
1.434,2.6892774704
1.555,2.5479950450
1.676,2.4213573971
1.797,2.3083489209
1.919,2.2083505235
2.041,2.1191719950
2.163,2.0401140778
2.284,1.9705323299
2.405,1.9093517629
2.526,1.8541767675
2.647,1.8056329513
2.768,1.7621238610
2.890,1.7225563836
3.012,1.6866911989
3.134,1.6547210523
3.255,1.6254421390
3.376,1.5991300417
3.497,1.5750884579
3.619,1.5521381780
3.741,1.5314436758
3.863,1.5125398263
3.984,1.4948362020
4.105,1.4784735009
4.226,1.4631041189
4.347,1.4486562698
4.468,1.4351668253
4.590,1.4225474097
4.712,1.4103962989
4.834,1.3986775489
4.955,1.3877201053
5.076,1.3773261845
5.197,1.3675649022
5.318,1.3580523594
5.439,1.3489561301
5.561,1.3405005217
5.683,1.3320285222
5.805,1.3239991598
5.926,1.3161486799
6.047,1.3088429152
6.168,1.3016605969
6.290,1.2946138171
6.412,1.2880013748
6.534,1.2813386544
6.655,1.2752143203
6.776,1.2690645814
6.897,1.2631209230
7.018,1.2574350353
7.139,1.2517666803
7.261,1.2461840663
7.383,1.2408440446
7.505,1.2354715869
7.626,1.2306161297
7.747,1.2257786620
7.868,1.2209937522
7.989,1.2164576799
8.110,1.2120983040
8.232,1.2076522772
8.354,1.2032913975
8.476,1.1992555757
8.597,1.1950466656
8.718,1.1912383044
8.839,1.1872121276
8.960,1.1834370925
9.081,1.1798133570
9.203,1.1761588869
9.325,1.1727465411
9.447,1.1692562849
9.568,1.1657497906
9.689,1.1625140964
9.810,1.1591405809
9.932,1.1560764617
10.054,1.1528606734
10.177,1.1499780621
10.300,1.1468836793
10.422,1.1441290550
10.544,1.1412599722
10.666,1.1381758826
10.789,1.1356837793
10.911,1.1328841238
11.033,1.1303311610
11.156,1.1276321880
11.278,1.1250895297
11.400,1.1227797386
11.523,1.1201592195
11.645,1.1179216436
11.767,1.1153123127
11.890,1.1129851152
12.012,1.1107234551
12.134,1.1084659101
12.257,1.1062326959
12.379,1.1039990854
12.501,1.1017751075
12.624,1.0990886144
12.746,1.0960226772
12.868,1.0929015339
12.990,1.0903860093
13.113,1.0873865135
13.235,1.0868011173
13.357,1.0861049422
13.480,1.0838683775
13.602,1.0827116758
13.724,1.0805116020
13.847,1.0782718392
13.969,1.0751291983
14.091,1.0725952768
14.214,1.0697767280
14.336,1.0674847386
14.458,1.0651278509
14.581,1.0630857192
14.703,1.0608912200
14.825,1.0585155369
14.948,1.0529611842
15.070,1.0531820235
15.192,1.0526476001
15.314,1.0515369430
15.437,1.0504897551
15.559,1.0489589761
15.681,1.0472007962
15.804,1.0457556923
15.926,1.0440623898
16.048,1.0427599981
16.171,1.0409493017
16.293,1.0396203389
16.415,1.0381718618
16.538,1.0368061439
16.660,1.0354744248
16.782,1.0341179983
16.905,1.0326629860
17.027,1.0313381523
17.149,1.0299649914
17.272,1.0287218003
17.394,1.0274883749
17.516,1.0262484908
17.639,1.0249430111
17.761,1.0237666938
17.883,1.0225471372
18.006,1.0212037975
18.129,1.0185587792
18.252,1.0176386997
18.375,1.0165379686
18.497,1.0153303238
18.620,1.0141429613
18.742,1.0127862196
18.864,1.0116595227
18.986,1.0106623220
19.109,1.0093324767
19.231,1.0081719962
19.353,1.0072253507
19.476,1.0059849252
19.598,1.0048731708
19.720,1.0039164397
19.843,1.0028297932
19.965,1.0017051966
20.087,1.0007231960
20.210,0.9994699596
20.332,0.9985014104
20.454,0.9976580125
20.577,0.9965113410
20.699,0.9954463813
20.821,0.9945942061
20.944,0.9935499930
21.066,0.9925235807
21.188,0.9917300634
21.311,0.9906282206
21.433,0.9896448563
21.555,0.9886614069
21.677,0.9877780972
21.800,0.9868726309
21.922,0.9856132647
22.044,0.9815747497
22.167,0.9797408316
22.289,0.9786092868
22.411,0.9777825146
22.534,0.9767794836
22.656,0.9759426789
22.778,0.9751097738
22.901,0.9742712082
23.023,0.9730653319
23.145,0.9721946824
23.268,0.9712975781
23.390,0.9705695191
23.512,0.9695604973
23.635,0.9687197042
23.757,0.9676921721
23.879,0.9667817281
24.002,0.9660790552
24.124,0.9651619248
24.246,0.9640889457
24.368,0.9631616170
24.491,0.9623248301
24.613,0.9616289448
24.735,0.9608496479
24.858,0.9598684124
24.980,0.9590615083
25.102,0.9580405849
25.225,0.9572823505
25.347,0.9565422801
25.469,0.9557299929
25.592,0.9549446596
25.714,0.9539238805
25.836,0.9532638008
25.959,0.9524350196
26.081,0.9516498259
26.203,0.9509297999
26.326,0.9502406198
26.448,0.9492091083
26.570,0.9483537553
26.692,0.9476814765
26.815,0.9470145245
26.937,0.9462312125
27.059,0.9452386932
27.182,0.9445376367
27.304,0.9436720403
27.426,0.9429886888
27.549,0.9422354274
27.671,0.9415784225
27.793,0.9408818916
27.916,0.9400819679
28.038,0.9392038192
28.160,0.9384060605
28.283,0.9379175910
28.405,0.9372603359
