Time (s),Voltage (V)
0.101,4.8163927593
0.222,4.6495518005
0.343,4.4724208508
0.464,4.2830061596
0.585,4.0806188548
0.706,3.8701350934
0.827,3.6576739586
0.948,3.4489304079
1.070,3.2471166985
1.191,3.0565181418
1.312,2.8804077217
1.434,2.7183108197
1.555,2.5713138553
1.676,2.4395574715
1.797,2.3212835530
1.918,2.2158428888
2.039,2.1216997972
2.160,2.0376154144
2.281,1.9624472337
2.403,1.8952720623
2.525,1.8346076837
2.647,1.7804752968
2.768,1.7320196800
2.889,1.6884839962
3.010,1.6492418900
3.131,1.6137151554
3.252,1.5813276073
3.374,1.5516197458
3.496,1.5247550410
3.618,1.5003068807
3.739,1.4780073717
3.860,1.4573825592
3.981,1.4385500939
4.103,1.4212190469
4.224,1.4050540688
4.345,1.3896173175
4.467,1.3756519509
4.589,1.3625761064
4.710,1.3504344257
4.831,1.3388432346
4.952,1.3282241434
5.074,1.3179910153
5.196,1.3082745941
5.318,1.2990668100
5.439,1.2902993873
5.560,1.2821670932
5.681,1.2741675810
5.803,1.2667699165
5.925,1.2596551480
6.047,1.2524877793
6.168,1.2458857656
6.289,1.2390697685
6.410,1.2328791652
6.531,1.2270575266
6.652,1.2212733604
6.773,1.2156055624
6.894,1.2103219847
7.016,1.2050423805
7.138,1.2001653064
7.260,1.1950629037
7.381,1.1902602697
7.502,1.1856960988
7.623,1.1814230603
7.745,1.1769624568
7.867,1.1725787797
7.989,1.1683888355
8.110,1.1642222761
8.231,1.1603707248
8.352,1.1564717582
8.473,1.1530816095
8.594,1.1491546373
8.716,1.1456518821
8.838,1.1422685165
8.960,1.1389419300
9.081,1.1353950877
9.202,1.1323885061
9.323,1.1296082404
9.445,1.1272338970
9.567,1.1250545566
9.689,1.1227290830
9.810,1.1198114091
9.931,1.1172678936
10.052,1.1144768159
10.174,1.1117059715
10.297,1.1091258101
10.419,1.1067634873
10.541,1.1052396186
10.664,1.1031403390
10.786,1.1016589166
10.908,1.1002191069
11.031,1.0989821697
11.153,1.0978683665
11.275,1.0967614808
11.398,1.0957915560
11.520,1.0951356444
11.642,1.0939634337
11.765,1.0928411255
11.887,1.0915090026
12.009,1.0907721042
12.131,1.0896837436
12.254,1.0887730248
12.376,1.0879870416
12.498,1.0876884826
12.621,1.0869812046
12.743,1.0863162795
12.865,1.0857138766
12.988,1.0846407844
13.110,1.0841097166
13.232,1.0831953588
13.355,1.0822007428
13.477,1.0811180470
13.599,1.0802678745
13.722,1.0790824570
13.844,1.0784018534
13.966,1.0774202557
14.089,1.0760842628
14.211,1.0752283696
14.333,1.0741705553
14.456,1.0734982008
14.578,1.0725906867
14.700,1.0720383573
14.822,1.0711811064
14.945,1.0707169901
15.067,1.0700783454
15.189,1.0693786242
15.312,1.0689824863
15.434,1.0685811332
15.556,1.0679561918
15.679,1.0674731541
15.801,1.0670797889
15.923,1.0667747330
16.046,1.0663745895
16.168,1.0659090158
16.290,1.0655354405
16.413,1.0647765533
16.535,1.0639063051
16.657,1.0630899032
16.780,1.0625876122
16.902,1.0618980849
17.024,1.0610702794
17.146,1.0603372969
17.269,1.0596590165
17.391,1.0590193605
17.513,1.0580762765
17.636,1.0573731833
17.758,1.0568720249
17.880,1.0564472954
18.003,1.0560153302
18.125,1.0558651600
18.247,1.0554076666
18.370,1.0550423159
18.492,1.0544905346
18.614,1.0537635386
18.737,1.0526486733
18.859,1.0519657969
18.981,1.0506928471
19.104,1.0496477497
19.226,1.0485416299
19.348,1.0472455153
19.470,1.0464159110
19.593,1.0456656237
19.715,1.0450940475
19.837,1.0443944872
19.960,1.0439652368
20.082,1.0433998700
20.204,1.0426911485
20.327,1.0419318688
20.449,1.0409922095
20.571,1.0406738557
20.694,1.0399694640
20.816,1.0391988606
20.938,1.0386909876
21.061,1.0379456488
21.183,1.0369454668
21.305,1.0362578433
21.428,1.0353745982
21.550,1.0342113672
21.672,1.0333744228
21.795,1.0328103711
21.917,1.0320378614
22.039,1.0316577045
22.161,1.0310596997
22.284,1.0305163499
22.406,1.0299593948
22.528,1.0291622052
22.651,1.0285266516
22.773,1.0278575128
22.895,1.0268584981
23.018,1.0255148106
23.140,1.0235986535
23.262,1.0214854766
23.385,1.0192100052
23.507,1.0169197373
23.629,1.0147836581
23.752,1.0123456824
23.874,1.0100810450
23.996,1.0067833364
24.119,1.0048931840
24.241,1.0024930580
24.363,0.9991322505
24.485,0.9959684438
24.608,0.9937587885
24.730,0.9916764920
24.852,0.9893740306
24.975,0.9875481458
25.097,0.9858818538
25.219,0.9837641665
25.342,0.9820102886
25.464,0.9802070478
25.586,0.9785949397
25.709,0.9771124646
25.831,0.9757333172
25.953,0.9741279787
26.076,0.9725012228
26.198,0.9711852080
26.320,0.9696802956
26.443,0.9685477549
26.565,0.9671205593
26.687,0.9660436606
26.810,0.9646966379
26.932,0.9635090687
27.054,0.9624870526
27.176,0.9613398570
27.299,0.9602587099
27.421,0.9591675666
27.543,0.9582705425
27.666,0.9572509629
27.788,0.9564802980
27.910,0.9554614795
28.033,0.9545721030
28.155,0.9535974414
28.277,0.9525959598
28.400,0.9521143206
28.522,0.9511181572
28.644,0.9502068792
28.767,0.9495200706
28.889,0.9484832290
29.011,0.9478370765
