Time (s),Voltage (V)
0.101,4.8314440573
0.223,4.6670426523
0.345,4.4895865158
0.466,4.3014506567
0.587,4.1059153202
0.708,3.9057816908
0.829,3.7068834028
0.950,3.5145798633
1.072,3.3323946982
1.194,3.1649408607
1.316,3.0145434161
1.437,2.8841237659
1.558,2.7716782008
1.679,2.6771568647
1.801,2.5977312862
1.923,2.5320315228
2.045,2.4790993802
2.166,2.4361143556
2.287,2.4024910466
2.408,2.3756280853
2.529,2.3545467010
2.650,2.3379156862
2.772,2.3248545116
2.894,2.3148923053
3.016,2.3070061540
3.137,2.3013459758
3.258,2.2970831424
3.379,2.2942524683
3.500,2.2918052447
3.621,2.2901010271
3.743,2.2894333154
3.865,2.2886083166
3.987,2.2889765734
4.108,2.2912332511
4.229,2.2954339715
4.350,2.2958389515
4.472,2.2961811195
4.594,2.2972814464
4.716,2.2979852261
4.837,2.2995374758
4.958,2.2999395946
5.079,2.3003336015
5.200,2.2922911858
5.321,2.2919214101
5.443,2.2935098295
5.565,2.2949368781
5.687,2.2961071164
5.808,2.2990884498
5.929,2.2998212067
6.050,2.3005236799
6.171,2.3014841437
6.292,2.3020257751
6.414,2.3027911297
6.536,2.3035486317
6.658,2.3044065337
6.779,2.3060524837
6.900,2.3068350014
7.021,2.3075172179
7.143,2.3083792828
7.264,2.3081404246
7.385,2.3073905347
7.507,2.3051689617
7.628,2.3051337712
7.749,2.3053813081
7.870,2.3053858317
7.991,2.3055643964
8.112,2.3054064924
8.233,2.3054955662
8.354,2.3048348381
8.476,2.3044214624
8.598,2.3040887417
8.720,2.3048879954
8.841,2.3046998964
8.962,2.3052395180
9.083,2.3053693032
9.204,2.3056511224
9.325,2.3059281695
9.447,2.3062700824
9.569,2.3058604661
9.691,2.3037791332
9.812,2.3033817437
9.933,2.3036578006
10.054,2.3041353263
10.177,2.3043668010
10.299,2.3046241405
10.421,2.3048665594
10.543,2.3051019745
10.666,2.3049959169
10.788,2.3051613188
10.910,2.3051240064
11.033,2.3053220746
11.155,2.3053086984
11.277,2.3051873480
11.400,2.3053179805
11.522,2.3052949246
11.644,2.3053167852
11.767,2.3053657442
11.889,2.3050828081
12.011,2.3052658365
12.134,2.3055595283
12.256,2.3053279818
12.378,2.3057092278
12.501,2.3056291268
12.623,2.3054505686
12.745,2.3055084185
12.867,2.3058290261
12.990,2.3056946313
13.112,2.3058624052
13.234,2.3059061376
13.357,2.3059975894
13.479,2.3060483516
13.601,2.3064541803
13.724,2.3063510406
13.846,2.3064119799
13.968,2.3061980599
14.091,2.3064370153
14.213,2.3065028870
14.335,2.3067667574
14.458,2.3067863724
14.580,2.3063086764
14.702,2.3062366156
14.825,2.3063837929
14.947,2.3062563359
15.069,2.3058031779
15.191,2.3057835854
15.314,2.3057151014
15.436,2.3053376234
15.558,2.3052355427
15.681,2.3051146437
15.803,2.3045718001
15.925,2.3041766361
16.048,2.3043504249
16.170,2.3042949467
16.292,2.3045429159
16.415,2.3040461020
16.537,2.3035098400
16.659,2.3033779809
16.782,2.3031972733
16.904,2.3030305117
17.026,2.3031080905
17.149,2.3035930295
17.271,2.3039065255
17.393,2.3040182820
17.516,2.3037431439
17.638,2.3038004672
17.760,2.3037247113
17.882,2.3035790217
18.005,2.3032914359
18.127,2.3034092913
18.249,2.3032485437
18.372,2.3030485235
18.494,2.3029616427
18.616,2.3027252869
18.739,2.3031768031
18.861,2.3032467604
18.983,2.3027968904
19.106,2.3029598196
19.228,2.3030098510
19.350,2.3029800303
19.473,2.3030417001
19.595,2.3029616427
19.717,2.3024016938
19.840,2.3027701295
19.962,2.3025167489
20.084,2.3023542181
20.206,2.3019335166
20.329,2.3016183426
20.451,2.3013831651
20.573,2.3013386562
20.696,2.3012539739
20.818,2.3010002534
20.940,2.3005702949
21.063,2.3004733790
21.185,2.3000181814
21.307,2.2999947124
21.430,2.3001363039
21.552,2.3001421456
21.674,2.3002026381
21.797,2.3000598820
21.919,2.2997537244
22.041,2.2998129495
22.164,2.2996586671
22.286,2.2992482259
22.408,2.2991134377
22.531,2.2989654115
22.653,2.2990650344
22.775,2.2990099392
22.897,2.2989619686
23.020,2.2984209055
23.142,2.2985554037
23.264,2.2986149667
23.387,2.2980005852
23.509,2.2977220888
23.631,2.2974279999
23.754,2.2974151390
23.876,2.2972289867
23.998,2.2971291927
24.121,2.2970425823
24.243,2.2967744513
24.365,2.2965660031
24.488,2.2965144525
24.610,2.2964273515
24.732,2.2963185384
24.854,2.2961198578
24.977,2.2960436391
25.099,2.2958499674
25.222,2.2955864725
25.344,2.2955568472
25.466,2.2954383925
25.588,2.2953225796
25.711,2.2952152804
25.833,2.2950127821
25.955,2.2946822784
26.078,2.2944374148
26.200,2.2947634763
26.322,2.2943531774
26.445,2.2942381721
26.567,2.2941271267
26.689,2.2940185685
26.812,2.2937236890
26.934,2.2934577199
27.056,2.2933204337
27.179,2.2934111781
27.301,2.2932428486
27.423,2.2932910569
27.545,2.2932102743
27.668,2.2930140573
27.790,2.2928227477
27.912,2.2929679238
28.035,2.2928298259
28.157,2.2925390074
28.279,2.2923138528
28.402,2.2921515817
28.524,2.2920486601
28.646,2.2916226029
28.769,2.2917326260
28.891,2.2915638223
29.013,2.2913651055
29.136,2.2911676500
29.258,2.2910707202
29.380,2.2908404717
29.503,2.2906900132
29.625,2.2912125904
29.747,2.2911778346
29.870,2.2911485445
29.992,2.2910762297
30.114,2.2907222430
30.236,2.2904920928
30.359,2.2904907704
30.481,2.2904619182
30.603,2.2900542094
30.726,2.2898848541
30.848,2.2899398911
30.970,2.2896975686
31.093,2.2896160128
31.215,2.2894440343
31.337,2.2893973844
31.460,2.2892762083
31.582,2.2890804059
31.704,2.2888644886
31.827,2.2888599820
31.949,2.2889550644
32.071,2.2887570832
32.194,2.2885256363
32.316,2.2882498457
32.438,2.2882016374
32.560,2.2877174545
32.683,2.2879128965
32.805,2.2877057806
32.927,2.2874158933
33.050,2.2872933334
33.172,2.2871162619
33.294,2.2870248277
33.417,2.2871186548
33.539,2.2868490502
33.661,2.2866819568
33.784,2.2867215339
33.906,2.2863270231
34.028,2.2860512946
34.151,2.2861278997
34.273,2.2859551305
34.395,2.2857538644
34.518,2.2857921892
34.640,2.2856204271
34.762,2.2855390537
34.885,2.2851043923
35.007,2.2850956453
35.129,2.2847898669
35.251,2.2847803313
35.374,2.2847905167
35.496,2.2845639766
35.618,2.2842763523
35.741,2.2841081785
35.863,2.2840681197
35.985,2.2840422637
36.108,2.2836646586
36.230,2.2836204712
36.352,2.2835148759
36.475,2.2833480536
36.597,2.2834675820
36.719,2.2831995448
36.842,2.2830055198
36.964,2.2830433489
37.086,2.2827540991
37.208,2.2827244827
37.331,2.2826165870
37.453,2.2823601684
37.575,2.2821034594
37.698,2.2820652577
37.820,2.2821397876
37.942,2.2818390770
38.065,2.2818823911
38.187,2.2817224414
38.309,2.2816187584
38.432,2.2815111991
38.554,2.2814731356
38.676,2.2812001529
38.799,2.2809284822
38.921,2.2810736953
39.043,2.2808490200
39.166,2.2806487235
39.288,2.2808698431
39.410,2.2805226730
39.533,2.2801069470
39.655,2.2802858339
39.777,2.2802417667
39.900,2.2799363624
40.022,2.2799704139
40.144,2.2797775807
40.266,2.2797116249
40.389,2.2794669137
40.511,2.2793547250
40.633,2.2793233132
40.756,2.2790725222
40.878,2.2790517013
41.000,2.2789060848
41.123,2.2790711575
41.245,2.2787982634
41.367,2.2788716600
41.490,2.2787586466
41.612,2.2784456541
41.734,2.2784103678
41.857,2.2781540949
41.979,2.2781495174
42.101,2.2779655994
42.224,2.2778620541
42.346,2.2777790021
42.468,2.2776068296
42.590,2.2773583461
42.713,2.2771128467
42.835,2.2771633132
42.957,2.2771283885
43.080,2.2770691771
43.202,2.2766357766
43.324,2.2767111600
43.447,2.2766638682
43.569,2.2764994160
43.691,2.2764605475
43.814,2.2764086737
43.936,2.2764085089
44.058,2.2763077015
44.181,2.2760047294
44.303,2.2758231224
44.425,2.2757266110
44.548,2.2757126887
44.670,2.2754884190
44.792,2.2753451715
44.914,2.2752653188
45.037,2.2751122310
45.159,2.2749636372
45.281,2.2751014567
45.404,2.2748966121
45.526,2.2745669517
45.648,2.2743950600
45.771,2.2746932753
45.893,2.2744209494
46.015,2.2742959166
46.138,2.2741187465
46.260,2.2740270187
46.382,2.2740990068
46.505,2.2738963042
46.627,2.2740008485
46.749,2.2737657748
46.872,2.2738417172
46.994,2.2736055404
47.116,2.2733843481
47.239,2.2733258695
47.361,2.2732625727
47.483,2.2728032576
47.606,2.2729451247
47.728,2.2728052825
47.850,2.2725849017
47.972,2.2728418134
48.095,2.2722996327
48.217,2.2723328411
48.339,2.2717636289
48.462,2.2714316985
48.584,2.2718493807
48.706,2.2718641493
48.829,2.2713880288
48.951,2.2710160658
49.073,2.2706055789
49.196,2.2707507249
49.318,2.2704389435
49.440,2.2702599540
49.563,2.2703727095
49.685,2.2701910151
49.807,2.2701484177
49.930,2.2697708872
50.052,2.2695808357
50.174,2.2695590652
50.297,2.2698131922
50.420,2.2694016782
50.543,2.2693440687
50.666,2.2690203151
50.788,2.2690275464
50.911,2.2688292604
51.033,2.2687185957
51.155,2.2689017873
51.277,2.2688609304
51.400,2.2684839973
51.522,2.2684830637
51.644,2.2683638365
51.767,2.2682356261
51.889,2.2679940938
52.011,2.2680457514
52.134,2.2679463147
52.256,2.2679142057
52.378,2.2677373052
52.501,2.2677402486
52.623,2.2676607678
52.745,2.2676023601
52.868,2.2673895267
52.990,2.2672985168
53.112,2.2673242077
53.235,2.2672448710
53.357,2.2673246871
53.479,2.2670970041
53.602,2.2670333461
53.724,2.2668605100
53.846,2.2668494909
53.968,2.2668808164
54.091,2.2668996078
54.213,2.2668729064
54.335,2.2665930252
54.458,2.2664642760
54.580,2.2665781470
54.702,2.2662914640
54.825,2.2666580601
54.947,2.2663770495
55.069,2.2663203808
55.192,2.2664287945
55.314,2.2661649330
55.436,2.2661661577
55.559,2.2660521437
55.681,2.2659390427
55.803,2.2660918002
55.926,2.2663987716
56.048,2.2663343508
56.170,2.2658756125
56.293,2.2659088527
56.415,2.2658137011
56.537,2.2659996474
56.659,2.2651705927
56.782,2.2651855742
56.904,2.2647076648
57.026,2.2643801995
57.149,2.2646847379
57.271,2.2647916850
57.393,2.2646542209
57.516,2.2643735917
57.638,2.2640988628
57.760,2.2642783021
57.883,2.2640774569
58.005,2.2639804081
58.127,2.2636077072
58.250,2.2638836728
58.372,2.2643233758
58.494,2.2638335338
58.617,2.2634988340
58.739,2.2636112703
58.861,2.2634308335
58.983,2.2635030558
59.106,2.2634210475
59.228,2.2636250441
59.350,2.2633474558
59.473,2.2633064146
59.595,2.2638330285
59.717,2.2636944577
59.840,2.2639710121
59.962,2.2638123678
60.084,2.2637454064
60.207,2.2636844300
60.329,2.2635231179
60.451,2.2632868681
60.574,2.2629652455
60.696,2.2633936442
60.818,2.2632400504
60.941,2.2633077793
61.063,2.2628068803
61.185,2.2620878879
61.307,2.2622307155
61.430,2.2624330217
61.552,2.2626691423
61.674,2.2627622343
