Time (s),Voltage (V)
0.101,4.8034840093
0.223,4.6316416619
0.345,4.4460053684
0.467,4.2479186671
0.588,4.0434907771
0.709,3.8364272955
0.830,3.6316692745
0.951,3.4350923205
1.072,3.2509850998
1.194,3.0820942804
1.316,2.9302685274
1.438,2.7976824372
1.559,2.6832741978
1.680,2.5869256260
1.801,2.5056775608
1.922,2.4381973873
2.043,2.3827684363
2.165,2.3372054760
2.287,2.3004675498
2.409,2.2707519531
2.530,2.2471942767
2.651,2.2286742097
2.772,2.2137211852
2.893,2.2023686941
3.014,2.1935587634
3.136,2.1870170395
3.258,2.1815601541
3.380,2.1777343750
3.501,2.1754079800
3.622,2.1734462552
3.743,2.1727014704
3.865,2.1723481376
3.987,2.1726906206
4.109,2.1731393484
4.230,2.1740664118
4.351,2.1745392784
4.472,2.1756738144
4.593,2.1766854032
4.714,2.1778803361
4.836,2.1792091781
4.958,2.1803408149
5.080,2.1820102457
5.201,2.1829436266
5.322,2.1843930060
5.443,2.1821020473
5.564,2.1755414457
5.685,2.1783884460
5.807,2.1813361143
5.929,2.1839156337
6.051,2.1860665263
6.172,2.1858388796
6.293,2.1858480758
6.414,2.1885465137
6.536,2.1899407241
6.658,2.1894613085
6.780,2.1896304338
6.901,2.1904035173
7.022,2.1918514436
7.143,2.1929778407
7.264,2.1941063200
7.385,2.1948545126
7.507,2.1966312277
7.629,2.1970937718
7.751,2.1974633925
7.872,2.1978923330
7.993,2.1984729062
8.114,2.1981622995
8.235,2.1987110586
8.356,2.1992540010
8.478,2.1998441429
8.600,2.2008486274
8.722,2.2011159545
8.843,2.2021759851
8.964,2.2039325156
9.085,2.2023976730
9.207,2.2010365369
9.329,2.2017406272
9.451,2.2025630674
9.572,2.2028453918
9.693,2.2033061610
9.814,2.2040313161
9.935,2.2041940703
10.056,2.2038476452
10.179,2.2057157019
10.301,2.2061538589
10.423,2.2045141092
10.546,2.2037369209
10.668,2.2029431858
10.790,2.2047144967
10.912,2.2049740244
11.035,2.2049951527
11.157,2.2044982480
11.279,2.2045746968
11.402,2.2042282045
11.524,2.2043866802
11.646,2.2036094257
11.769,2.2041899935
11.891,2.2047516859
12.013,2.2044438826
12.136,2.2040589846
12.258,2.2041359970
12.380,2.2042029091
12.503,2.2029890782
12.625,2.2013385380
12.747,2.2036452275
12.870,2.2050415517
12.992,2.2050326715
13.114,2.2048019005
13.237,2.2042500393
13.359,2.2037627270
13.481,2.2026015956
13.603,2.2012740478
13.726,2.2015534385
13.848,2.2046222122
13.970,2.2057589097
14.093,2.2053881795
14.215,2.2064375992
14.337,2.2060797487
14.460,2.2060787058
14.582,2.2055560759
14.704,2.2048638651
14.827,2.2011290242
14.949,2.1987284027
15.071,2.1991286947
15.194,2.1987394756
15.316,2.1980727697
15.438,2.1981758165
15.561,2.1981089951
15.683,2.1978606532
15.805,2.1979116163
15.927,2.1974170941
16.050,2.1975412897
16.172,2.1974102499
16.294,2.1970990090
16.417,2.1971209693
16.539,2.1967105408
16.661,2.1969310160
16.784,2.1964086082
16.906,2.1961403054
17.028,2.1961048210
17.151,2.1957330933
17.273,2.1956003724
17.395,2.1957192633
17.518,2.1954383232
17.640,2.1952684238
17.762,2.1946328169
17.885,2.1945731183
18.007,2.1943538434
18.129,2.1941343459
18.252,2.1940081422
18.374,2.1937946271
18.496,2.1938373259
18.618,2.1931952376
18.741,2.1930378572
18.863,2.1925715136
18.985,2.1927064055
19.108,2.1922149573
19.230,2.1922863959
19.352,2.1921528549
19.475,2.1915940295
19.597,2.1911982656
19.719,2.1905527906
19.842,2.1906988017
19.964,2.1903814792
20.086,2.1902030347
20.209,2.1902402704
20.331,2.1898374141
20.453,2.1898532788
20.576,2.1896111545
20.698,2.1892437632
20.820,2.1890422307
20.943,2.1891376118
21.065,2.1888512099
21.187,2.1887272457
21.309,2.1885231048
21.432,2.1882464780
21.554,2.1880440651
21.676,2.1879323754
21.799,2.1873635324
21.921,2.1873980739
22.043,2.1871268353
22.166,2.1870660329
22.288,2.1866157220
22.410,2.1862758544
22.533,2.1859565509
22.655,2.1859008617
22.777,2.1854524134
22.900,2.1855348658
23.022,2.1852796633
23.144,2.1845656307
23.267,2.1844704182
23.389,2.1840896068
23.511,2.1838926415
23.633,2.1838592340
23.756,2.1836011193
23.878,2.1832948585
24.000,2.1829159947
24.123,2.1829078636
24.245,2.1824959781
24.367,2.1822812015
24.490,2.1822814771
24.612,2.1820097629
24.734,2.1813255693
24.857,2.1809468235
24.979,2.1807081387
25.101,2.1806838912
25.224,2.1806370419
25.346,2.1801764699
25.468,2.1800628679
25.591,2.1794675141
25.713,2.1792618895
25.835,2.1790690563
25.957,2.1790080923
26.080,2.1787578824
26.202,2.1782784401
26.324,2.1783595292
26.447,2.1781137551
26.569,2.1775911275
26.691,2.1773033766
26.814,2.1773085959
26.936,2.1770704778
27.058,2.1768985410
27.181,2.1766385398
27.303,2.1763142961
27.425,2.1761783744
27.548,2.1759753070
27.670,2.1753377336
27.792,2.1752247884
27.914,2.1751194678
28.037,2.1749108593
28.159,2.1743841542
28.282,2.1743445186
28.404,2.1743074533
28.526,2.1739080130
28.648,2.1736295628
28.771,2.1737577077
28.893,2.1735733097
29.015,2.1730168015
29.138,2.1729184316
29.260,2.1723681021
29.382,2.1726477677
29.505,2.1718635367
29.627,2.1717441489
29.749,2.1712638911
29.872,2.1712480676
29.994,2.1708626256
30.116,2.1707365033
30.239,2.1707076557
30.361,2.1705348092
30.483,2.1702586872
30.606,2.1699966593
30.728,2.1700100273
30.850,2.1694287729
30.972,2.1693870514
31.095,2.1691300897
31.217,2.1688599149
31.339,2.1685870193
31.462,2.1685541962
31.584,2.1681836213
31.706,2.1677897411
31.829,2.1674174207
31.951,2.1674549872
32.073,2.1672775002
32.196,2.1669356899
32.318,2.1665087271
32.440,2.1664127494
32.563,2.1662629044
32.685,2.1661189285
32.807,2.1658674607
32.930,2.1659694989
33.052,2.1655982788
33.174,2.1652739773
33.297,2.1652926194
33.419,2.1651299696
33.541,2.1651423660
33.663,2.1646267912
33.786,2.1642609240
33.908,2.1644977521
34.030,2.1641723839
34.153,2.1634134599
34.275,2.1632374493
34.397,2.1632250137
34.520,2.1630163390
34.642,2.1627842913
34.764,2.1626053674
34.887,2.1622343794
35.009,2.1620418834
35.131,2.1617557635
35.254,2.1615479471
35.376,2.1617788038
35.498,2.1614211546
35.621,2.1611330854
35.743,2.1610997554
35.865,2.1606658806
35.987,2.1606266304
36.110,2.1603374790
36.232,2.1600777393
36.354,2.1599945912
36.477,2.1596742463
36.599,2.1594592957
36.721,2.1593253732
36.844,2.1591447518
36.966,2.1591177054
37.088,2.1587883465
37.211,2.1586780324
37.333,2.1583863166
37.455,2.1579277267
37.578,2.1579110842
37.700,2.1576273801
37.822,2.1574636805
37.945,2.1573010738
38.067,2.1570585221
38.189,2.1570932697
38.312,2.1568411779
38.434,2.1566480629
38.556,2.1568739532
38.678,2.1564020199
38.801,2.1563103187
38.923,2.1559717692
39.045,2.1556006107
39.168,2.1554464785
39.290,2.1556756325
39.412,2.1552494778
39.535,2.1546945417
39.657,2.1547954866
39.779,2.1547413679
39.902,2.1542592099
40.024,2.1542679500
40.146,2.1539358278
40.269,2.1538375249
40.391,2.1539993609
40.513,2.1531963832
40.636,2.1530760354
40.758,2.1534911076
40.880,2.1529856091
41.002,2.1528493813
41.125,2.1530269071
41.247,2.1527927759
41.369,2.1523674343
41.492,2.1522121952
41.614,2.1519925181
41.736,2.1515976959
41.859,2.1515107515
41.981,2.1514952839
42.103,2.1509945736
42.226,2.1510358440
42.348,2.1507583855
42.470,2.1506792425
42.593,2.1505773127
42.715,2.1505435142
42.837,2.1500444493
42.960,2.1499004332
43.082,2.1500504121
43.204,2.1499608824
43.326,2.1499205200
43.449,2.1494446313
43.571,2.1491137936
43.693,2.1489731498
43.816,2.1488660084
43.938,2.1486799189
44.060,2.1485683142
44.183,2.1479434871
44.305,2.1483218001
44.427,2.1478357546
44.550,2.1478288543
44.672,2.1476537707
44.794,2.1475493404
44.917,2.1472843484
45.039,2.1471317437
45.161,2.1469269401
45.284,2.1467084549
45.406,2.1466413963
45.528,2.1463472266
45.651,2.1462185360
45.773,2.1463342406
45.895,2.1457846659
46.017,2.1460002247
46.140,2.1454952575
46.262,2.1457447219
46.384,2.1458253468
46.507,2.1450626550
46.629,2.1452226948
46.751,2.1450432155
46.874,2.1447119332
46.996,2.1446607237
47.118,2.1444676330
47.241,2.1441797093
47.363,2.1439954491
47.485,2.1439278522
47.608,2.1437675770
47.730,2.1436221791
47.852,2.1436524539
47.975,2.1432994930
48.097,2.1434940828
48.219,2.1431718838
48.342,2.1431493786
48.464,2.1429155831
48.586,2.1429486403
48.708,2.1426073172
48.831,2.1423346667
48.953,2.1424252358
49.075,2.1420716675
49.198,2.1421054011
49.320,2.1416401291
49.442,2.1418293169
49.565,2.1411064579
49.687,2.1415712601
49.809,2.1411545910
49.932,2.1410450474
50.054,2.1409032308
50.176,2.1403573128
50.299,2.1405019062
50.421,2.1406002072
50.543,2.1403118721
50.666,2.1401893953
50.788,2.1400533873
50.910,2.1398495350
51.032,2.1395366258
51.155,2.1397213112
51.277,2.1396332863
51.399,2.1395242329
51.522,2.1391713466
51.644,2.1389074070
51.766,2.1390918575
51.889,2.1390089501
52.011,2.1387076869
52.133,2.1385327988
52.256,2.1384153158
52.378,2.1382338681
52.500,2.1381789120
52.623,2.1378448810
52.745,2.1376856708
52.867,2.1378663349
52.990,2.1380277477
53.112,2.1376856708
53.234,2.1373013818
53.356,2.1372948833
53.479,2.1370083344
53.601,2.1369694332
53.723,2.1368060513
53.846,2.1369933229
53.968,2.1363344609
54.090,2.1364067237
54.213,2.1363519250
54.335,2.1362490634
54.457,2.1362786635
54.580,2.1360953658
54.702,2.1356705637
54.824,2.1356411163
54.947,2.1353707226
55.069,2.1354749758
55.191,2.1351678200
55.313,2.1352197569
55.436,2.1348958151
55.558,2.1347625956
55.681,2.1349899778
55.803,2.1348097012
55.925,2.1343372598
56.047,2.1344307406
56.170,2.1342721580
56.292,2.1342105408
56.414,2.1339501705
56.537,2.1338013446
56.659,2.1336954007
56.781,2.1336637563
56.904,2.1334901983
57.026,2.1336458150
57.148,2.1334379296
57.271,2.1331899695
57.393,2.1330631832
57.515,2.1332658057
57.638,2.1326536517
57.760,2.1326320632
57.882,2.1326213736
58.005,2.1324271154
58.127,2.1326045156
58.249,2.1325370240
58.371,2.1321339185
58.494,2.1320559234
58.616,2.1321059040
58.738,2.1319411397
58.861,2.1316124035
58.983,2.1314213461
59.105,2.1314839784
59.228,2.1312084592
59.350,2.1309957356
59.472,2.1310433411
59.595,2.1306257424
59.717,2.1305439550
59.839,2.1308367923
59.962,2.1304701693
60.084,2.1302354218
60.206,2.1301661974
60.329,2.1302572797
60.451,2.1301279862
60.573,2.1298481123
60.696,2.1301617524
60.818,2.1298332268
60.940,2.1295921853
61.062,2.1293358714
61.185,2.1297045857
61.307,2.1294392961
61.429,2.1291940413
61.552,2.1291587152
61.674,2.1287933048
61.796,2.1289296589
61.919,2.1287329361
62.041,2.1287506060
62.163,2.1281860834
62.286,2.1280969968
62.408,2.1281762385
62.530,2.1280222213
62.653,2.1282075356
62.775,2.1277354769
62.897,2.1280456302
63.020,2.1280424098
63.142,2.1277754209
63.264,2.1272768093
63.386,2.1272304511
63.509,2.1273559775
63.631,2.1274090378
63.753,2.1270307873
63.876,2.1269138223
63.998,2.1268484441
64.120,2.1268476474
64.243,2.1267814487
64.365,2.1263856444
64.487,2.1261550206
64.610,2.1263843278
64.732,2.1264228337
64.854,2.1262638030
64.977,2.1259203378
65.099,2.1259297316
65.221,2.1257708399
65.344,2.1255655219
65.466,2.1258057674
65.588,2.1253783973
65.711,2.1252148001
65.833,2.1251239642
65.955,2.1250165286
66.077,2.1255037036
66.200,2.1249364061
66.322,2.1250234155
66.444,2.1253191867
66.567,2.1246662001
66.689,2.1246102014
66.811,2.1247835369
66.934,2.1248108558
67.056,2.1245013884
67.178,2.1243043438
67.301,2.1240125201
67.423,2.1238953411
67.545,2.1241280889
67.668,2.1239074400
67.790,2.1236997532
67.912,2.1235993241
68.035,2.1236972798
68.157,2.1234105033
68.279,2.1233540308
68.401,2.1233115328
68.524,2.1233956863
68.646,2.1232521046
68.768,2.1230457734
68.891,2.1230531525
69.013,2.1230000441
69.135,2.1227676211
69.258,2.1226137267
69.380,2.1224931682
69.502,2.1224522900
69.625,2.1222575461
69.747,2.1222424850
69.869,2.1219923748
69.992,2.1221961357
70.114,2.1221061244
70.236,2.1220901412
70.359,2.1219532233
70.481,2.1218650829
70.603,2.1216880596
70.726,2.1214892332
70.848,2.1213320368
70.970,2.1210207489
71.092,2.1213520736
71.215,2.1212968139
71.337,2.1210703345
71.459,2.1208425867
71.582,2.1210730069
71.704,2.1208086323
71.826,2.1207764911
71.949,2.1205366891
72.071,2.1205138730
72.193,2.1203868025
72.316,2.1201286508
72.438,2.1202067172
72.560,2.1202738892
72.683,2.1201559443
72.805,2.1201406030
72.927,2.1198580377
73.050,2.1197110598
73.172,2.1198733912
73.294,2.1195166498
73.416,2.1194738570
73.539,2.1195022643
73.661,2.1195207819
73.783,2.1191475100
73.906,2.1190942260
74.028,2.1190552274
74.150,2.1192810782
74.273,2.1186657176
74.395,2.1189202442
74.517,2.1186476620
74.640,2.1186165892
74.762,2.1184588218
74.884,2.1183488548
75.007,2.1184569221
75.129,2.1183100648
75.251,2.1181615839
75.374,2.1183736768
75.496,2.1181516661
75.618,2.1181478140
75.741,2.1178673818
75.863,2.1176668283
75.985,2.1177205461
76.107,2.1175364297
76.230,2.1173774630
76.352,2.1174905236
76.474,2.1172321145
76.597,2.1171836789
76.719,2.1174877689
76.841,2.1170889074
76.964,2.1167961108
77.086,2.1167178134
77.208,2.1170627446
77.331,2.1166255262
77.453,2.1166379253
77.575,2.1166895798
77.698,2.1161683596
77.820,2.1163899969
77.942,2.1163343160
78.065,2.1164604004
78.187,2.1162701648
78.309,2.1159175555
78.431,2.1161442911
78.554,2.1158039910
78.676,2.1159216877
78.798,2.1155218909
78.921,2.1157357571
79.043,2.1155621915
79.165,2.1152919333
