Time (s),Voltage (V)
0.101,4.6906010430
0.223,4.5011536480
0.345,4.2978079172
0.466,4.0837102764
0.587,3.8633866978
0.708,3.6410574974
0.829,3.4228804712
0.950,3.2128685869
1.071,3.0155421285
1.192,2.8333407691
1.314,2.6660974827
1.436,2.5150958013
1.558,2.3797082315
1.679,2.2600700260
1.800,2.1541531576
1.921,2.0604917953
2.043,1.9770629235
2.164,1.9032743469
2.285,1.8380222654
2.407,1.7799174559
2.529,1.7278554906
2.650,1.6810400873
2.771,1.6396297157
2.892,1.6021091657
3.014,1.5684292269
3.136,1.5372812282
3.258,1.5091586832
3.379,1.4838364444
3.500,1.4603973208
3.621,1.4391707621
3.742,1.4195479895
3.863,1.4011468688
3.985,1.3840829317
4.107,1.3681858851
4.229,1.3536042794
4.350,1.3398974678
4.471,1.3271269625
4.592,1.3152721597
4.714,1.3037668736
4.836,1.2931378753
4.958,1.2831062871
5.079,1.2735711059
5.200,1.2646016330
5.321,1.2560284696
5.443,1.2479399143
5.564,1.2396343451
5.685,1.2322533312
5.807,1.2252108611
5.929,1.2182862692
6.050,1.2116716436
6.171,1.2059569487
6.292,1.1997242485
6.413,1.1940837437
6.534,1.1885834171
6.656,1.1830704064
6.778,1.1781831027
6.900,1.1731816297
7.021,1.1682924343
7.142,1.1635231468
7.263,1.1591075331
7.385,1.1547449095
7.507,1.1506888599
7.629,1.1466098551
7.750,1.1426538809
7.871,1.1387993485
7.992,1.1355397126
8.113,1.1319658889
8.234,1.1284556983
8.356,1.1250633033
8.478,1.1221044104
8.600,1.1188883009
8.721,1.1156489664
8.842,1.1128985542
8.963,1.1100251234
9.084,1.1072682461
9.205,1.1045869245
9.327,1.1023232310
9.449,1.0995084454
9.571,1.0972334366
9.692,1.0945846923
9.813,1.0936577676
9.934,1.0926966014
10.056,1.0905125275
10.179,1.0884673373
10.301,1.0859898404
10.423,1.0838838546
10.546,1.0817012712
10.668,1.0795106444
10.790,1.0770154201
10.913,1.0741914565
11.035,1.0720438668
11.157,1.0700189254
11.280,1.0686822575
11.402,1.0667464629
11.524,1.0651264739
11.647,1.0634787460
11.769,1.0619118587
11.891,1.0603414278
12.014,1.0589275499
12.136,1.0573155413
12.258,1.0557643075
12.381,1.0543681657
12.503,1.0530250022
12.625,1.0514391766
12.748,1.0501158337
12.870,1.0491697153
12.992,1.0478722232
13.114,1.0463112596
13.237,1.0452016337
13.359,1.0440431065
13.481,1.0428081928
13.604,1.0415047251
13.726,1.0403999361
13.848,1.0395874092
13.971,1.0383686985
14.093,1.0369027680
14.215,1.0358612697
14.338,1.0350361585
14.460,1.0338422294
14.582,1.0327919553
14.705,1.0315958090
14.827,1.0309524859
14.949,1.0299236816
15.072,1.0290670635
15.194,1.0279924960
15.316,1.0269002336
15.438,1.0260391881
15.561,1.0251436186
15.683,1.0244140625
15.805,1.0234628366
15.928,1.0223105502
16.050,1.0215532440
16.172,1.0207708179
16.295,1.0200015175
16.417,1.0192199621
16.539,1.0182385302
16.662,1.0173226576
16.784,1.0164679566
16.906,1.0157076195
17.029,1.0151159757
17.151,1.0139748986
17.273,1.0131849707
17.396,1.0125517485
17.518,1.0115975406
17.640,1.0109363981
17.762,1.0101927678
17.885,1.0092192085
18.007,1.0085342472
18.129,1.0075943845
18.252,1.0070384555
18.374,1.0061114356
18.496,1.0052713996
18.619,1.0048890900
18.741,1.0041941224
18.863,1.0032623687
18.986,1.0027288071
19.108,1.0018801239
19.230,1.0012092741
19.353,1.0006517695
19.475,1.0001033035
19.597,0.9994095460
19.720,0.9987180229
19.842,0.9981639523
19.964,0.9972311451
20.087,0.9967706295
20.209,0.9962425071
20.331,0.9955551944
20.453,0.9952152293
20.576,0.9941149691
20.698,0.9935896730
20.820,0.9929776178
20.943,0.9922944906
21.065,0.9918252490
21.187,0.9912687712
21.310,0.9907292067
21.432,0.9904464915
21.554,0.9894910749
21.677,0.9889073636
21.799,0.9880663787
21.921,0.9875219768
22.044,0.9870404861
22.166,0.9866421677
22.288,0.9861284049
22.410,0.9855143229
22.533,0.9849757306
22.655,0.9842620548
22.777,0.9836636461
22.900,0.9831607109
23.022,0.9824990083
23.144,0.9821875110
23.267,0.9816213558
23.389,0.9812387055
23.511,0.9807003600
23.634,0.9801720693
23.756,0.9795348863
23.878,0.9789598425
24.001,0.9783979899
24.123,0.9778599921
24.245,0.9775401641
24.368,0.9768163298
24.490,0.9764977631
24.612,0.9760378662
24.735,0.9757218593
24.857,0.9750460045
24.979,0.9744199009
25.102,0.9739518739
25.224,0.9734262055
25.346,0.9728556384
25.469,0.9724384476
25.592,0.9718529046
25.715,0.9716619517
25.838,0.9711447343
25.960,0.9706562941
26.082,0.9701856515
26.205,0.9698278215
26.327,0.9693284996
26.449,0.9687783660
26.572,0.9684235694
26.694,0.9678257779
26.816,0.9672788221
26.939,0.9670629869
27.061,0.9665158895
27.183,0.9659693030
27.306,0.9656287119
27.428,0.9649553178
27.550,0.9645578865
27.673,0.9639679006
27.795,0.9636302781
27.917,0.9632428595
28.040,0.9628979943
28.162,0.9625366383
28.284,0.9620269758
28.407,0.9616998083
28.529,0.9613672426
28.651,0.9609790851
28.774,0.9604565880
28.896,0.9601758088
29.018,0.9597584626
29.140,0.9594134456
29.263,0.9589008568
29.385,0.9585642741
29.507,0.9580047831
29.630,0.9578664320
29.752,0.9574472188
29.874,0.9570422659
29.997,0.9570080505
30.119,0.9566731312
30.241,0.9563675400
30.364,0.9557457247
30.486,0.9556015294
30.608,0.9550704138
30.731,0.9546157726
30.853,0.9542709803
30.975,0.9539225031
31.097,0.9535281832
31.220,0.9531446513
31.342,0.9528192216
31.464,0.9525505191
31.587,0.9521347907
31.709,0.9516842604
31.831,0.9513855841
31.954,0.9512955147
32.076,0.9507641705
32.198,0.9503487094
32.321,0.9498366755
32.443,0.9496884366
32.565,0.9490956469
32.688,0.9486657831
32.810,0.9480851662
32.932,0.9482061103
33.055,0.9478265070
33.177,0.9474901380
33.299,0.9472119223
33.422,0.9472219554
33.544,0.9467656360
33.666,0.9464022512
33.789,0.9462271062
33.911,0.9457477521
34.033,0.9456265427
34.155,0.9449674259
34.278,0.9447819138
34.400,0.9443414470
34.522,0.9441054291
34.645,0.9438880507
34.767,0.9436307189
34.889,0.9433301828
35.012,0.9431415726
35.134,0.9426665528
35.256,0.9422891771
35.379,0.9420443727
35.501,0.9420811663
35.623,0.9417535273
35.746,0.9413838693
35.868,0.9409007515
35.990,0.9406238981
36.112,0.9402732612
36.235,0.9399031953
36.357,0.9394242000
36.479,0.9392887122
36.602,0.9390216143
36.724,0.9385977719
36.846,0.9383854057
36.969,0.9381277512
37.091,0.9378939307
37.213,0.9377616284
37.336,0.9374781652
37.458,0.9373305822
37.580,0.9368652068
37.703,0.9367330518
37.825,0.9363471328
37.947,0.9361175004
38.070,0.9358228126
38.192,0.9353636834
38.314,0.9351019812
38.436,0.9349938751
38.559,0.9345441107
38.681,0.9345964827
38.803,0.9339267066
38.926,0.9336638944
39.048,0.9333623501
39.170,0.9331046426
39.293,0.9330784482
39.415,0.9327824731
39.537,0.9325400760
39.660,0.9320549408
39.782,0.9319574224
39.904,0.9315321181
40.027,0.9312511463
40.149,0.9308803112
40.271,0.9306480894
40.394,0.9302808613
40.516,0.9297949356
40.638,0.9295561350
40.761,0.9291877555
40.883,0.9289685076
41.005,0.9286225346
41.128,0.9284385481
41.250,0.9281255510
41.372,0.9279699070
41.494,0.9276393626
41.617,0.9274355108
41.739,0.9271670544
41.862,0.9270561308
41.985,0.9267455373
42.108,0.9264287445
42.231,0.9259480135
42.353,0.9257583919
42.476,0.9256914543
42.598,0.9252702420
42.720,0.9250134394
42.843,0.9245069151
42.966,0.9244091524
43.089,0.9242977154
43.212,0.9238914460
43.334,0.9236763805
43.457,0.9234738550
43.579,0.9234369490
43.701,0.9231353028
43.823,0.9231131909
43.946,0.9228092575
44.068,0.9226063888
44.190,0.9223585995
44.313,0.9223370795
44.435,0.9219893225
44.557,0.9220033356
44.680,0.9215305557
44.802,0.9214108229
44.924,0.9210917671
45.047,0.9209915084
45.169,0.9205582246
45.291,0.9203895014
45.414,0.9202245602
45.536,0.9199769702
45.658,0.9195894692
45.781,0.9193839195
45.903,0.9193833194
46.025,0.9192493523
46.148,0.9191300897
46.270,0.9187924233
46.392,0.9187607436
46.514,0.9185567254
46.637,0.9181870982
46.759,0.9181891308
46.881,0.9180017978
47.004,0.9178090829
47.126,0.9175927252
47.248,0.9175776844
47.371,0.9172973292
47.493,0.9170279994
47.615,0.9169249903
47.738,0.9166559312
47.860,0.9162952332
47.982,0.9160919103
48.105,0.9160063452
48.227,0.9156327133
48.349,0.9155383597
48.472,0.9153349244
48.594,0.9152801040
48.716,0.9148586257
48.838,0.9147052797
48.961,0.9146471274
49.083,0.9144715819
49.205,0.9141117963
49.328,0.9142445478
49.450,0.9138669120
49.572,0.9135307058
49.695,0.9135199046
49.817,0.9133503945
49.939,0.9130377428
50.062,0.9128307430
50.184,0.9126603270
50.306,0.9125489107
50.429,0.9124090580
50.551,0.9123573034
50.673,0.9120958805
50.796,0.9118399879
50.918,0.9116011217
51.040,0.9114688932
51.162,0.9112972253
51.285,0.9110935098
51.407,0.9108386871
51.530,0.9106145084
51.653,0.9101944396
51.776,0.9101390599
51.899,0.9099376288
52.021,0.9099904602
52.144,0.9111781198
52.266,0.9116947836
52.388,0.9113770908
52.511,0.9111549203
52.633,0.9106631259
52.755,0.9105019724
52.877,0.9101515682
53.000,0.9097015398
53.122,0.9096356003
53.244,0.9095043821
53.367,0.9089496030
53.489,0.9088532484
53.611,0.9089356846
53.734,0.9089523324
53.856,0.9091934613
53.978,0.9091752811
54.101,0.9090383070
54.223,0.9089606841
54.345,0.9097384707
54.468,0.9100590850
54.590,0.9106011438
54.712,0.9107836074
54.835,0.9112136013
54.957,0.9110735852
55.079,0.9097664514
55.201,0.9094837273
55.324,0.9094299692
55.446,0.9095047492
55.568,0.9095195290
55.691,0.9101300482
55.813,0.9160473047
55.935,0.9261494576
56.058,0.9369131891
