Time (s),Voltage (V)
0.101,4.7037319779
0.223,4.5390715043
0.345,4.3608657581
0.467,4.1706420216
0.588,3.9719317481
0.709,3.7692559293
0.830,3.5661096460
0.952,3.3704530770
1.074,3.1805827505
1.196,3.0019135715
1.317,2.8333741956
1.438,2.6794113533
1.559,2.5416264585
1.681,2.4172991539
1.803,2.3052712552
1.925,2.2044002597
2.046,2.1149768049
2.167,2.0353646678
2.288,1.9640545112
2.409,1.8998600820
2.530,1.8421642564
2.652,1.7926115775
2.774,1.7433850166
2.896,1.7016192388
3.017,1.6659508881
3.138,1.6326489595
3.259,1.6008132052
3.380,1.5719269805
3.501,1.5451967225
3.623,1.5211973273
3.745,1.4985160615
3.867,1.4779659676
3.988,1.4588769394
4.109,1.4409183817
4.230,1.4230388862
4.351,1.4069121463
4.472,1.3909653923
4.594,1.3764524287
4.716,1.3639509318
4.838,1.3512842615
4.959,1.3393547801
5.080,1.3281759343
5.201,1.3171459031
5.322,1.3052926549
5.443,1.2942785445
5.565,1.2846244477
5.687,1.2755311082
5.809,1.2668784371
5.930,1.2587146840
6.051,1.2507351063
6.172,1.2435019763
6.294,1.2369655237
6.416,1.2301782363
6.538,1.2222293449
6.659,1.2148712976
6.780,1.2084100560
6.901,1.2023825921
7.022,1.1962780497
7.143,1.1904877965
7.265,1.1848303472
7.387,1.1791064726
7.509,1.1737326510
7.630,1.1686684591
7.751,1.1634267845
7.872,1.1584703367
7.993,1.1536363807
8.114,1.1490114301
8.236,1.1444308379
8.358,1.1399662295
8.480,1.1353943894
8.601,1.1314915925
8.722,1.1272083473
8.843,1.1230468750
8.965,1.1196102154
9.087,1.1158535920
9.209,1.1119868955
9.330,1.1080706210
9.451,1.1042135630
9.572,1.1006575613
9.693,1.0971254317
9.814,1.0936921663
9.936,1.0902860545
10.058,1.0868772368
10.181,1.0838042880
10.304,1.0803925465
10.426,1.0774046302
10.548,1.0743716392
10.670,1.0712802498
10.793,1.0684680032
10.915,1.0654241780
