Time (s),Voltage (V)
0.101,4.9226585083
0.223,4.7590900260
0.345,4.5833037819
0.467,4.3946567301
0.588,4.1957932057
0.709,3.9902269413
0.830,3.7812577112
0.952,3.5721982288
1.074,3.3647201794
1.196,3.1618884209
1.317,2.9693271223
1.438,2.8047414629
1.559,2.6583766749
1.680,2.5246301892
1.801,2.4044621606
1.922,2.2974093975
2.043,2.2019391348
2.165,2.1168854450
2.287,2.0415066341
2.409,1.9742111121
2.530,1.9152360279
2.651,1.8630703543
2.772,1.8169322608
2.894,1.7760995128
3.016,1.7402316472
3.138,1.7067748341
3.259,1.6771710265
3.380,1.6508228785
3.501,1.6270509190
3.622,1.6051747075
3.743,1.5820422659
3.865,1.5638356450
3.987,1.5480820640
4.109,1.5347688984
4.230,1.5243892697
4.351,1.5131928170
4.472,1.5022221892
4.594,1.4915034424
4.716,1.4815639730
4.838,1.4718979138
4.959,1.4630586654
5.080,1.4548991665
5.201,1.4472099945
5.323,1.4400135775
5.445,1.4332964167
5.567,1.4267619042
5.688,1.4207235102
5.809,1.4151290924
5.930,1.4095446932
6.051,1.4044480261
6.172,1.3992039336
6.294,1.3944120106
6.416,1.3898893720
6.538,1.3856126157
6.659,1.3819006744
6.780,1.3779883308
6.901,1.3741542886
7.022,1.3706152426
7.143,1.3670291460
7.265,1.3636335110
7.387,1.3602642720
7.509,1.3571586396
7.630,1.3541437103
7.751,1.3513400409
7.872,1.3488693797
7.993,1.3465453310
8.114,1.3444588753
8.236,1.3425387787
8.358,1.3409116947
8.480,1.3390049428
8.601,1.3374319574
8.722,1.3358284730
8.843,1.3338838263
8.964,1.3314494974
9.085,1.3302695808
9.206,1.3287236537
9.327,1.3274282422
9.449,1.3261527802
9.571,1.3248434227
9.692,1.3234033410
9.813,1.3221353983
9.934,1.3211871364
10.055,1.3200553505
10.178,1.3187195489
10.301,1.3178517153
10.423,1.3166766912
10.546,1.3149695186
10.668,1.3096901446
10.790,1.3086846315
10.913,1.3075729720
11.035,1.3066061905
11.157,1.3055244355
11.280,1.3045543076
11.402,1.3034437258
11.524,1.3022912591
11.647,1.3011794626
11.770,1.3000270055
11.893,1.2991937561
12.016,1.2981416927
12.138,1.2973519899
12.261,1.2962529805
12.383,1.2954989973
12.505,1.2947852774
12.628,1.2937255996
12.750,1.2928971262
12.872,1.2918385152
12.995,1.2908393088
13.118,1.2898522063
13.241,1.2887637194
13.364,1.2877565046
13.486,1.2866472566
13.609,1.2855839396
13.731,1.2845570897
13.853,1.2838188139
13.975,1.2827462392
14.098,1.2819484414
14.220,1.2810075811
14.342,1.2800432045
14.465,1.2791877009
