Time (s),Voltage (V)
0.101,4.8088623391
0.222,4.6389375595
0.343,4.4520454385
0.465,4.2475680074
0.587,4.0512200073
0.709,3.8472757180
0.830,3.6394748876
0.951,3.4351005802
1.072,3.2382798726
1.193,3.0524736463
1.314,2.8800855057
1.436,2.7211549796
1.558,2.5769015690
1.680,2.4417008554
1.801,2.3258399264
1.922,2.2263518797
2.043,2.1354598246
2.164,2.0544388854
2.285,1.9816686606
2.407,1.9165141385
2.529,1.8583070553
2.651,1.8064564966
2.772,1.7601388950
2.893,1.7187568830
3.014,1.6814307715
3.136,1.6476211058
3.258,1.6168997141
3.380,1.5891481538
3.501,1.5638718706
3.622,1.5403710993
3.743,1.5194348334
3.864,1.4997489075
3.985,1.4817132751
4.107,1.4650702230
4.229,1.4516628841
4.351,1.4380073760
4.472,1.4244989091
4.593,1.4120152153
4.714,1.3999805569
4.836,1.3872112606
4.957,1.3760241796
5.078,1.3674119496
5.200,1.3584052571
5.322,1.3498276013
5.443,1.3414180955
5.564,1.3333891317
5.685,1.3258592097
5.806,1.3187420708
5.927,1.3117346680
6.049,1.3048473954
6.171,1.2983698499
6.293,1.2920440162
6.414,1.2851052869
6.535,1.2793987437
6.656,1.2741593190
6.778,1.2687672447
6.900,1.2640060340
7.022,1.2590823040
7.143,1.2538828345
7.264,1.2490749225
7.385,1.2442717146
7.507,1.2397405001
7.629,1.2352014900
7.751,1.2306583341
7.872,1.2263737989
7.993,1.2222435443
8.114,1.2173836389
8.235,1.2135434104
8.356,1.2106262999
8.478,1.2068227857
8.600,1.2031972874
8.722,1.1995051720
8.843,1.1961871364
8.964,1.1928117621
9.085,1.1895757118
9.206,1.1862233379
9.327,1.1829074573
9.449,1.1794782171
9.571,1.1765314028
9.693,1.1735362474
9.814,1.1707111138
9.935,1.1677149043
10.056,1.1652869909
10.178,1.1628309186
10.301,1.1602670617
10.423,1.1578477609
10.545,1.1558399319
10.668,1.1537466374
10.790,1.1517762694
10.912,1.1506445423
11.035,1.1486809583
11.157,1.1465298285
11.279,1.1443902461
11.402,1.1417675072
11.524,1.1387999714
11.646,1.1368360697
11.769,1.1350028058
11.891,1.1330259939
12.013,1.1311541343
12.135,1.1295504067
12.258,1.1281480357
12.380,1.1264421170
12.502,1.1248700120
12.625,1.1232502118
12.747,1.1216874008
12.869,1.1198853021
12.992,1.1184629267
13.114,1.1163569398
13.236,1.1148262347
13.359,1.1131038421
13.481,1.1114796368
13.603,1.1101430860
13.726,1.1082087475
13.848,1.1069769812
13.970,1.1052107018
14.093,1.1030789285
14.215,1.1004509542
14.337,1.0984248868
14.460,1.0961941356
14.582,1.0932513884
14.704,1.0895586323
14.826,1.0868980894
14.949,1.0844633764
15.071,1.0818287751
15.193,1.0793549290
15.316,1.0771241463
15.438,1.0746939461
15.560,1.0722441439
15.683,1.0699541360
15.805,1.0676872135
15.927,1.0654486900
16.050,1.0630447789
16.172,1.0610069200
16.294,1.0591627230
16.417,1.0571425530
16.539,1.0550111843
16.661,1.0531259914
16.784,1.0512307744
16.906,1.0493460199
17.028,1.0475505521
17.151,1.0457475043
17.273,1.0442386945
17.395,1.0422235874
17.517,1.0408941743
17.640,1.0390278372
17.762,1.0374785129
17.884,1.0360829654
18.007,1.0343920312
18.129,1.0329896311
18.251,1.0315650557
18.374,1.0301124057
18.496,1.0287293944
18.618,1.0274905373
18.741,1.0260197409
18.863,1.0246978028
18.985,1.0234352968
19.108,1.0221167661
19.230,1.0207860433
19.352,1.0194447749
19.475,1.0184717152
19.597,1.0171566467
19.719,1.0161001961
19.841,1.0151375449
19.964,1.0139287071
20.086,1.0128275410
20.208,1.0117887012
20.331,1.0103587134
20.453,1.0094433181
20.575,1.0082539635
20.698,1.0070466436
20.820,1.0060797558
20.942,1.0050676048
21.065,1.0040034150
21.187,1.0029379518
21.309,1.0020423541
21.432,1.0007773197
21.554,0.9999269989
21.676,0.9988780272
21.799,0.9980111205
21.921,0.9970221042
22.043,0.9962231872
22.166,0.9950252083
22.288,0.9942687214
22.410,0.9932673660
22.532,0.9924584920
22.655,0.9913269350
22.777,0.9905869843
22.899,0.9897554573
23.022,0.9888295770
23.144,0.9879864907
23.266,0.9870537996
23.389,0.9861589051
23.511,0.9851545971
23.633,0.9843934517
23.756,0.9836806526
23.878,0.9827496915
24.000,0.9820057481
24.123,0.9810877673
24.245,0.9804370703
24.367,0.9794156268
24.490,0.9784348362
24.612,0.9779481444
24.734,0.9768338439
24.856,0.9762031052
24.979,0.9756058618
25.101,0.9746465643
25.223,0.9738112706
25.346,0.9733418635
25.468,0.9725061156
25.590,0.9715557582
25.713,0.9708840811
25.835,0.9700199445
25.957,0.9694379450
26.080,0.9685886952
26.202,0.9677362482
26.324,0.9672279950
26.446,0.9663204359
26.569,0.9658020258
26.691,0.9651816638
26.814,0.9642230951
26.936,0.9635545222
27.058,0.9627460001
27.180,0.9620793015
