Time (s),Voltage (V)
0.101,4.8561364361
0.223,4.7004530923
0.345,4.5370930080
0.466,4.3646613849
0.587,4.1875410228
0.708,4.0111498920
0.829,3.8381494265
0.950,3.6757498546
1.072,3.5255161402
1.194,3.3915879234
1.316,3.2761939704
1.437,3.1800015427
1.558,3.1012962649
1.679,3.0379178971
1.800,2.9879825270
1.921,2.9482039071
2.043,2.9186026015
2.165,2.8954764425
2.287,2.8780742624
2.408,2.8635773867
2.529,2.8563172884
2.650,2.8482398191
2.772,2.8425881662
2.894,2.8394032057
3.016,2.8374378055
3.137,2.8349719565
3.258,2.8333514127
3.379,2.8334292908
3.500,2.8351685293
3.621,2.8353511769
3.743,2.8363233227
3.865,2.8352841851
3.987,2.8368363194
4.108,2.8376881501
4.229,2.8409158488
4.350,2.8420240786
4.472,2.8428364679
4.594,2.8443173883
4.716,2.8368172246
4.837,2.8343108141
4.958,2.8356104190
5.079,2.8364209604
5.200,2.8370792549
5.321,2.8369484873
5.443,2.8351677647
5.565,2.8350195858
5.687,2.8361052614
5.808,2.8361138047
5.929,2.8367667659
6.050,2.8375586764
6.171,2.8375872216
6.292,2.8378765797
6.414,2.8382046858
6.536,2.8372277627
6.658,2.8372864111
6.779,2.8389760005
6.900,2.8391414069
7.021,2.8409624180
7.143,2.8422211708
7.265,2.8422906119
7.387,2.8425265690
7.508,2.8417693274
7.629,2.8415284373
7.750,2.8422512823
7.872,2.8424899370
7.994,2.8427600674
8.116,2.8432971805
8.237,2.8445778054
8.358,2.8455247172
8.479,2.8465777614
8.600,2.8471890308
8.721,2.8478033127
8.843,2.8478993674
8.965,2.8481254365
9.087,2.8486764578
9.208,2.8487485124
9.329,2.8485615044
9.450,2.8483738650
9.571,2.8470747727
9.692,2.8479547818
9.814,2.8485474076
9.936,2.8487569287
10.058,2.8496284698
10.181,2.8489962607
10.304,2.8512117781
10.426,2.8514688382
10.548,2.8510117033
10.671,2.8511708378
10.793,2.8501658366
10.915,2.8508588573
11.038,2.8509006319
11.160,2.8497374714
11.282,2.8514137849
11.405,2.8532110292
11.527,2.8538021201
11.649,2.8544679524
11.772,2.8544760843
11.894,2.8540211235
12.016,2.8547447278
12.139,2.8547749485
12.261,2.8545803398
12.383,2.8545037542
12.506,2.8543041351
12.628,2.8542607876
12.750,2.8545541696
12.872,2.8548094464
12.995,2.8551515992
13.117,2.8553075965
13.239,2.8558325512
13.362,2.8557302220
13.484,2.8560596461
13.606,2.8556797051
13.729,2.8557029285
