Time (s),Voltage (V)
0.101,4.8118221347
0.222,4.6451056175
0.343,4.4650174774
0.464,4.2725380708
0.585,4.0705448707
0.706,3.8622881636
0.828,3.6517789318
0.950,3.4433430080
1.072,3.2428980992
1.193,3.0543844764
1.314,2.8801903457
1.435,2.7200350956
1.556,2.5748060090
1.677,2.4437168420
1.799,2.3259936980
1.921,2.2206908498
2.043,2.1262425258
2.164,2.0426326693
2.285,1.9682401061
2.406,1.9016475430
2.528,1.8419240273
2.650,1.7880804818
2.772,1.7398238369
2.893,1.6960976067
3.014,1.6565922236
3.135,1.6211860345
3.256,1.5887408153
3.377,1.5589983102
3.499,1.5316737501
3.621,1.5065863412
3.743,1.4834066210
3.864,1.4623011063
3.985,1.4428084583
4.106,1.4245085508
4.227,1.4075123454
4.348,1.3912862314
4.470,1.3764524287
4.592,1.3622774092
4.714,1.3488210326
4.835,1.3360779928
4.956,1.3242581209
5.077,1.3131557234
5.199,1.3023057134
5.321,1.2918789826
5.443,1.2820669845
5.564,1.2724182387
5.685,1.2634618053
5.806,1.2546472805
5.927,1.2460298756
6.048,1.2378356555
6.170,1.2302190840
6.291,1.2226133121
6.412,1.2152846627
6.534,1.2082233109
6.655,1.2013495570
6.776,1.1947679157
6.897,1.1885302803
7.018,1.1822903818
7.139,1.1761297272
7.260,1.1703387105
7.381,1.1643690183
7.503,1.1588910026
7.625,1.1535030770
7.747,1.1481197080
7.868,1.1430946425
7.989,1.1380986573
8.110,1.1332904509
8.231,1.1282848512
8.352,1.1236830452
8.474,1.1191709124
8.596,1.1145810601
8.718,1.1105002291
8.839,1.1062924233
8.960,1.1020991000
9.081,1.0981824092
9.202,1.0942359410
9.323,1.0903185367
9.445,1.0865342427
9.567,1.0828468706
9.689,1.0793388836
9.810,1.0759087954
9.931,1.0724470613
10.052,1.0689820506
10.175,1.0657877786
10.297,1.0626432475
10.419,1.0592907832
10.542,1.0562514193
10.664,1.0533156294
10.786,1.0502082599
10.908,1.0474596707
11.031,1.0446339283
11.153,1.0419315828
11.275,1.0389305842
11.398,1.0363189544
11.520,1.0339303817
11.642,1.0312455936
11.765,1.0286876834
11.887,1.0262501102
12.009,1.0238057076
12.132,1.0215204025
12.254,1.0190767146
12.376,1.0167403633
12.499,1.0145905752
12.621,1.0123854020
12.743,1.0100344138
12.866,1.0079145778
12.988,1.0057312786
13.110,1.0038043239
13.232,1.0014805415
13.355,0.9995613930
13.477,0.9976446800
13.599,0.9956324578
13.722,0.9937233069
13.844,0.9920111953
13.966,0.9898477157
14.089,0.9881936378
14.211,0.9866504319
14.333,0.9845215119
14.456,0.9827485786
14.578,0.9813323673
14.700,0.9794817224
14.823,0.9777374865
14.945,0.9762663633
15.067,0.9745727470
15.190,0.9727018302
15.312,0.9713298330
15.434,0.9697698000
15.557,0.9680414600
15.679,0.9667486667
15.801,0.9651954337
15.924,0.9635230161
16.047,0.9621445640
16.170,0.9606234392
16.293,0.9590891822
16.415,0.9577252538
16.538,0.9562643018
16.660,0.9548040264
16.782,0.9535864223
16.904,0.9521814853
17.027,0.9509557102
17.149,0.9495947748
17.271,0.9483176466
17.394,0.9468985270
17.516,0.9458538104
17.638,0.9444524310
17.761,0.9432575701
17.883,0.9418855783
18.005,0.9405844614
18.128,0.9394787809
18.250,0.9381804258
18.372,0.9370524777
18.495,0.9361585230
18.617,0.9349573563
18.739,0.9336265224
18.862,0.9323469816
18.984,0.9311874669
19.106,0.9300125617
19.228,0.9289461277
19.351,0.9276361183
19.473,0.9265787531
19.595,0.9252557900
19.718,0.9242448972
19.840,0.9229259410
19.962,0.9219909427
20.085,0.9208332060
20.207,0.9200513487
20.329,0.9187205875
20.452,0.9178704933
20.574,0.9167304853
20.696,0.9157242536
20.819,0.9148900398
20.941,0.9136410217
21.063,0.9129950560
21.186,0.9120296779
21.308,0.9110005840
21.430,0.9098803009
21.553,0.9090219309
21.675,0.9079097430
21.797,0.9072238077
21.919,0.9061527844
22.042,0.9051708138
22.164,0.9042886107
22.286,0.9033588683
22.409,0.9024319081
22.531,0.9015848136
22.653,0.9008334655
22.776,0.8996616148
22.898,0.8988314307
23.020,0.8978577865
23.143,0.8971779036
23.265,0.8959843860
23.387,0.8952001926
23.510,0.8944294451
23.632,0.8933880245
23.754,0.8926720358
23.877,0.8916304936
23.999,0.8909459296
24.121,0.8899197814
24.243,0.8892336876
24.366,0.8884439740
24.488,0.8876291983
24.610,0.8870222390
24.733,0.8858838409
24.855,0.8850300820
24.977,0.8843494981
25.100,0.8836826177
25.222,0.8828372928
25.344,0.8820636919
25.467,0.8813967846
25.589,0.8805990502
25.711,0.8798343424
25.834,0.8791409744
25.956,0.8782960706
26.078,0.8774796866
26.201,0.8770093497
26.323,0.8760054875
26.445,0.8753467265
26.568,0.8746430006
26.690,0.8736542996
26.812,0.8732617463
26.934,0.8724164882
27.057,0.8716611825
27.179,0.8707806221
27.302,0.8702200841
27.425,0.8696766432
27.548,0.8688077370
27.671,0.8680679893
27.793,0.8674166314
27.916,0.8668111222
28.038,0.8659878019
28.160,0.8654423594
28.282,0.8647755614
28.405,0.8642550831
28.527,0.8634754606
28.649,0.8628229872
28.772,0.8621002590
28.894,0.8615856951
29.016,0.8604146287
29.139,0.8600477855
29.261,0.8593887738
29.383,0.8586906351
29.506,0.8580471698
29.628,0.8574452905
29.750,0.8570203442
29.873,0.8561011411
29.995,0.8555031845
30.117,0.8548474514
30.240,0.8542288049
30.362,0.8536010226
30.484,0.8529040682
30.606,0.8525423673
30.729,0.8519306897
30.851,0.8510170575
30.973,0.8506682816
31.096,0.8500228720
31.218,0.8493779751
31.340,0.8487790490
31.463,0.8480577378
31.585,0.8476176834
31.707,0.8470357775
31.830,0.8465920753
31.952,0.8457375595
32.074,0.8451713308
32.197,0.8445177670
32.319,0.8438533035
32.441,0.8433771107
32.564,0.8428242035
32.686,0.8422018248
32.808,0.8417169870
32.930,0.8410706496
33.053,0.8405820400
33.175,0.8400944332
33.297,0.8394747162
33.420,0.8388393481
33.542,0.8383589342
33.664,0.8378980608
33.787,0.8373190985
33.909,0.8366358317
34.031,0.8362098690
34.154,0.8358588946
34.276,0.8353011504
34.398,0.8345299391
34.521,0.8340002052
34.643,0.8335711610
34.765,0.8333443493
34.888,0.8326914805
35.010,0.8321304214
35.132,0.8315914389
35.255,0.8312844990
35.377,0.8304252248
35.499,0.8300051239
35.621,0.8294075301
35.744,0.8289413495
35.866,0.8286029509
35.988,0.8281902694
36.111,0.8273828889
36.233,0.8270148316
36.355,0.8264827997
36.478,0.8261437627
36.600,0.8254859397
36.722,0.8249323071
36.845,0.8245511852
36.967,0.8241636548
37.089,0.8236930146
37.212,0.8233502699
37.334,0.8226788390
37.456,0.8222829751
37.579,0.8215570850
37.701,0.8210865876
37.823,0.8205810891
37.945,0.8202877141
38.068,0.8200341060
38.190,0.8196871694
38.312,0.8190952394
38.435,0.8186025604
38.557,0.8182009763
38.679,0.8177099857
38.802,0.8171696500
38.924,0.8165756678
39.046,0.8161705090
39.169,0.8160287805
39.291,0.8152836852
39.413,0.8149284625
39.536,0.8144634965
39.658,0.8141032705
39.780,0.8135253080
39.903,0.8132816867
40.025,0.8126735499
40.147,0.8124168297
40.270,0.8119661386
40.392,0.8113306043
40.514,0.8109752402
40.636,0.8106804432
40.759,0.8102316347
40.881,0.8098058445
41.003,0.8096876322
41.126,0.8089870498
41.248,0.8086254297
41.370,0.8081839573
41.493,0.8076892424
41.615,0.8073003901
41.737,0.8068813231
41.860,0.8066015953
41.982,0.8060455968
42.104,0.8056971103
42.227,0.8050922630
42.349,0.8049643534
42.471,0.8042733009
42.594,0.8039759577
42.716,0.8035718221
42.838,0.8032302318
42.960,0.8028729004
43.083,0.8024966484
43.205,0.8020071183
43.327,0.8016460008
43.450,0.8011579007
43.572,0.8008886856
