Time (s),Voltage (V)
0.101,4.9014831202
0.223,4.7399820509
0.344,4.5643746143
0.465,4.3763284223
0.586,4.1776660762
0.708,3.9711372437
0.829,3.7624616311
0.950,3.5569127186
1.072,3.3579510737
1.193,3.1700568583
1.314,2.9968685024
1.435,2.8393589122
1.556,2.6978261779
1.677,2.5722243036
1.798,2.4619424205
1.919,2.3657543271
2.041,2.2825122459
2.162,2.2106933594
2.283,2.1491783215
2.405,2.0968856385
2.526,2.0523005003
2.647,2.0145297743
2.768,1.9826532749
2.889,1.9559277647
3.010,1.9329904575
3.131,1.9137486344
3.252,1.8975537467
3.374,1.8839033904
3.496,1.8720948630
3.618,1.8621123756
3.739,1.8539977080
3.860,1.8472765828
3.981,1.8415158895
4.102,1.8366712296
4.223,1.8326396049
4.345,1.8292674608
4.467,1.8264091961
4.589,1.8241887439
4.710,1.8220576406
4.831,1.8206241630
4.952,1.8191519714
5.074,1.8179233463
5.196,1.8171864089
5.318,1.8164689900
5.439,1.8159021289
5.560,1.8153421355
5.681,1.8148883771
5.802,1.8145850036
5.923,1.8142774209
6.045,1.8141456129
6.166,1.8136373045
6.287,1.8137693109
6.409,1.8134656512
6.530,1.8133250507
6.651,1.8131712319
6.772,1.8131873127
6.893,1.8130321949
7.014,1.8129256105
7.135,1.8129413391
7.256,1.8126952574
7.378,1.8126326095
7.500,1.8124645382
7.622,1.8124181652
7.743,1.8123719036
7.864,1.8121539219
7.985,1.8119187456
8.106,1.8117739793
8.227,1.8115716322
8.349,1.8116012023
8.471,1.8112151929
8.593,1.8108742144
8.714,1.8105303464
8.835,1.8101840023
8.956,1.8100335325
9.078,1.8096870962
9.200,1.8091529548
9.322,1.8087846980
9.443,1.8085648250
9.564,1.8082595107
9.685,1.8079326075
9.806,1.8076648180
9.927,1.8075590785
10.049,1.8071399570
10.172,1.8069435832
10.294,1.8066599083
10.416,1.8063239169
10.539,1.8058381952
10.661,1.8057040065
10.783,1.8052223236
10.906,1.8047314426
11.028,1.8042550026
11.150,1.8038577248
11.273,1.8033285551
11.395,1.8029354725
11.517,1.8025729916
11.640,1.8021330985
11.762,1.8018239267
11.884,1.8013185522
12.007,1.8008885136
12.129,1.8003088086
12.251,1.7999622153
12.374,1.7994760734
12.496,1.7990058070
12.618,1.7984268696
12.741,1.7979735646
12.863,1.7972124581
12.985,1.7968419429
13.107,1.7962154210
13.230,1.7956768140
13.352,1.7952845746
13.475,1.7947570221
13.598,1.7941212574
13.721,1.7934929122
13.844,1.7928669451
13.966,1.7926848143
14.089,1.7923169805
14.211,1.7920197351
14.333,1.7913448188
14.455,1.7909470508
14.578,1.7903272822
14.700,1.7896630377
14.822,1.7891955174
14.945,1.7885914137
15.067,1.7882925445
15.189,1.7878970142
15.312,1.7873945924
15.434,1.7867443693
15.556,1.7863685535
15.679,1.7859057303
15.801,1.7855267653
15.923,1.7849213352
16.046,1.7842285429
16.168,1.7836962271
16.290,1.7836035542
16.413,1.7834438539
16.535,1.7827995526
16.657,1.7823105827
16.779,1.7818382508
16.902,1.7816301989
17.024,1.7814042666
17.146,1.7810409727
17.269,1.7804333776
17.391,1.7798974127
17.513,1.7794312694
17.636,1.7787643782
17.758,1.7783547470
17.880,1.7779110706
18.003,1.7775607336
18.125,1.7771426525
18.247,1.7769526844
18.370,1.7765126620
18.492,1.7760985984
18.614,1.7757602096
18.737,1.7752735358
18.859,1.7747405016
18.981,1.7741918160
19.104,1.7738078732
19.226,1.7732336477
19.348,1.7726014303
19.470,1.7710770609
19.593,1.7701136939
19.715,1.7707199290
19.837,1.7709462467
19.960,1.7701327994
20.082,1.7690037134
20.204,1.7680876119
20.327,1.7685265752
20.449,1.7682557960
20.571,1.7669626097
20.694,1.7665205007
20.816,1.7672778561
20.938,1.7664971865
21.061,1.7661670495
21.183,1.7656401512
21.305,1.7651973064
21.428,1.7648310312
21.550,1.7644790197
21.672,1.7640837117
21.794,1.7636165199
21.917,1.7632739353
22.039,1.7635396465
22.161,1.7632915499
22.284,1.7625124458
22.406,1.7620190189
22.528,1.7616529298
22.651,1.7612596728
22.773,1.7607959053
22.895,1.7604122603
23.018,1.7598895376
23.140,1.7596595667
23.262,1.7590366456
23.385,1.7588905944
23.507,1.7584626234
23.629,1.7581333391
23.752,1.7577033259
23.874,1.7573662288
23.996,1.7570758095
24.119,1.7567780752
24.241,1.7562891176
24.363,1.7559447726
24.485,1.7554371894
24.608,1.7550749590
24.730,1.7546293746
24.852,1.7543961836
24.975,1.7540309814
25.097,1.7536955108
25.219,1.7533840948
25.342,1.7530593318
25.464,1.7528429126
25.586,1.7524133156
25.709,1.7520658473
25.831,1.7516197990
