Time (s),Voltage (V)
0.101,4.8842703231
0.222,4.7291216722
0.343,4.5682062967
0.464,4.4037240465
0.586,4.2377096103
0.708,4.0708294234
0.830,3.9106145251
0.951,3.7623413258
1.072,3.6308907616
1.193,3.5167376093
1.315,3.4215172818
1.437,3.3438250153
1.559,3.2822033760
1.680,3.2348254033
1.801,3.1982697196
1.922,3.1709962315
2.043,3.1505759158
2.164,3.1354293350
2.286,3.1242878379
2.408,3.1164018855
2.530,3.1109121312
2.651,3.1080706210
2.772,3.1074015013
2.893,3.1054962898
3.015,3.1053036703
3.136,3.1050379946
3.257,3.1050515215
3.379,3.1062775511
3.501,3.1072145601
3.622,3.1084797029
3.743,3.1099027898
3.864,3.1113333576
3.986,3.1123802695
4.108,3.1136795129
4.230,3.1147570051
4.351,3.1157632890
4.472,3.1169289739
4.593,3.1185180492
4.714,3.1193531726
4.835,3.1202383628
4.957,3.1215783477
5.079,3.1229350340
5.201,3.1240343488
5.322,3.1249228667
5.443,3.1259856481
5.564,3.1266583657
5.685,3.1274613670
5.806,3.1284521181
5.928,3.1292538724
6.050,3.1299714669
6.172,3.1305715891
6.293,3.1311513796
6.414,3.1320853780
6.535,3.1327965269
6.657,3.1332990077
6.779,3.1341286771
6.901,3.1346333253
7.022,3.1348661737
7.143,3.1352350468
7.264,3.1356182233
7.385,3.1354195116
7.506,3.1356000820
7.628,3.1355541876
7.750,3.1359194963
7.872,3.1363095758
7.993,3.1364721990
8.114,3.1366570782
8.235,3.1367980647
8.357,3.1371995276
8.479,3.1377430495
8.601,3.1378644378
8.722,3.1384060406
8.843,3.1393731168
8.964,3.1398357612
9.085,3.1402334940
9.206,3.1393000586
9.328,3.1388967108
9.450,3.1392160767
9.572,3.1394765843
9.693,3.1400465004
9.814,3.1403573883
9.935,3.1405754143
10.056,3.1410911179
10.179,3.1414338011
10.302,3.1419663750
10.425,3.1422249467
10.548,3.1425917641
10.671,3.1428654456
10.794,3.1431392800
10.916,3.1436802691
11.039,3.1443156311
11.161,3.1449003879
11.283,3.1443163787
11.405,3.1447722235
11.528,3.1452285997
11.650,3.1449720116
11.772,3.1457884434
11.895,3.1462179901
12.017,3.1461648228
12.139,3.1466146384
12.262,3.1465018429
12.384,3.1462805227
12.506,3.1467619765
12.629,3.1469576448
12.751,3.1470518556
12.873,3.1470738937
12.995,3.1472659555
13.118,3.1474134468
13.240,3.1475826636
13.363,3.1478132970
13.485,3.1479609265
13.607,3.1480825115
13.730,3.1483182273
13.853,3.1483379343
13.976,3.1485681995
14.099,3.1485297521
14.221,3.1487627454
14.344,3.1488108755
14.466,3.1490945103
14.588,3.1493479669
14.711,3.1494386267
14.833,3.1494829315
14.955,3.1497584075
15.077,3.1498891246
15.200,3.1500854833
15.322,3.1503685869
15.444,3.1504385443
15.567,3.1506559181
15.689,3.1507322153
15.811,3.1508874436
15.934,3.1509616056
16.056,3.1511247686
16.178,3.1511449410
16.301,3.1514351484
16.423,3.1518231003
16.545,3.1516984917
16.668,3.1518349986
16.790,3.1522032572
16.912,3.1522713202
17.035,3.1524299976
17.157,3.1523974678
17.279,3.1526082070
17.401,3.1525783894
17.524,3.1526374284
17.646,3.1526619248
17.768,3.1529322762
17.891,3.1529758682
18.013,3.1529993829
18.135,3.1533674056
18.258,3.1533211313
18.380,3.1534139743
18.502,3.1534940889
18.625,3.1534330348
18.747,3.1535668635
18.869,3.1538176819
18.992,3.1538178736
19.114,3.1538877931
19.236,3.1540903262
19.359,3.1544101431
19.481,3.1542913655
19.603,3.1544332356
19.725,3.1546755477
19.848,3.1544005904
19.970,3.1544125749
20.092,3.1544455901
20.215,3.1545124939
20.337,3.1546054081
20.459,3.1551630028
20.582,3.1558758057
20.704,3.1558588240
20.826,3.1552125745
20.949,3.1550952107
21.071,3.1550131127
21.193,3.1548683265
21.316,3.1550474471
21.438,3.1551315673
21.560,3.1549399301
21.683,3.1551429744
21.805,3.1555847254
21.927,3.1559951847
22.049,3.1556105251
22.172,3.1554936963
22.294,3.1555888575
22.416,3.1554907268
22.539,3.1552548779
22.661,3.1554938183
22.783,3.1559754279
22.906,3.1557120445
23.028,3.1554263267
23.150,3.1555623304
23.273,3.1556656455
23.395,3.1555420266
23.517,3.1556628507
23.640,3.1557652669
23.762,3.1558367860
23.884,3.1557206844
24.007,3.1558648883
24.129,3.1557954646
24.251,3.1558033039
24.374,3.1562347156
24.496,3.1564056440
24.618,3.1559506420
24.741,3.1558567002
24.863,3.1557486336
24.985,3.1557018027
25.107,3.1555857392
25.230,3.1558894525
25.352,3.1558037288
25.474,3.1560057217
25.597,3.1558512415
25.719,3.1558739752
25.841,3.1557496012
25.964,3.1559017346
26.086,3.1557596527
26.208,3.1560222456
26.331,3.1559604156
26.453,3.1559882978
26.575,3.1570976761
26.698,3.1570576155
26.820,3.1571108626
26.942,3.1571968195
27.065,3.1570712623
27.187,3.1571329007
27.309,3.1569530920
27.432,3.1571831658
27.555,3.1568992231
27.678,3.1570663942
27.801,3.1569880170
27.923,3.1567644441
28.046,3.1570371454
28.168,3.1568891044
28.290,3.1569868984
28.412,3.1567506742
28.535,3.1571354021
28.657,3.1566384212
28.779,3.1568181468
28.902,3.1565990842
29.024,3.1567114223
29.146,3.1568952583
29.269,3.1569648175
29.391,3.1571673352
29.513,3.1574061222
29.636,3.1558280420
29.758,3.1554332136
29.880,3.1555306595
30.003,3.1553285704
30.125,3.1552775696
30.247,3.1554111755
30.369,3.1552731621
30.492,3.1553176530
30.614,3.1551478559
30.737,3.1549491904
30.859,3.1550695852
30.981,3.1550103579
31.103,3.1551134311
31.226,3.1551852794
31.348,3.1549828103
31.470,3.1554218772
31.593,3.1568802076
31.715,3.1564800225
31.837,3.1562948899
31.960,3.1561924107
32.082,3.1562679059
32.204,3.1560456544
32.327,3.1556342580
32.449,3.1559455990
32.571,3.1557193074
32.694,3.1558198540
32.816,3.1556935384
32.938,3.1556656047
33.061,3.1557666316
33.183,3.1555502909
33.305,3.1556811420
33.427,3.1557551092
33.550,3.1555537421
33.672,3.1556040087
33.794,3.1555499374
33.917,3.1554827789
34.039,3.1557059349
34.161,3.1548242628
34.284,3.1541549486
34.406,3.1539525300
34.528,3.1538176819
34.651,3.1536868646
34.773,3.1537266396
34.895,3.1537130305
35.018,3.1535817845
35.140,3.1535682409
35.262,3.1533495047
35.385,3.1533061199
35.507,3.1533120482
35.629,3.1535629384
35.752,3.1532037691
35.874,3.1532059900
35.996,3.1531536495
36.118,3.1533095720
36.241,3.1531641935
36.363,3.1528437390
36.485,3.1528689346
36.608,3.1528516826
36.730,3.1528520033
36.852,3.1525990443
36.975,3.1528735174
37.097,3.1526729438
37.219,3.1526954337
37.342,3.1527056622
37.464,3.1526274903
37.586,3.1524930159
37.709,3.1524218095
37.831,3.1525241868
37.953,3.1522817679
38.075,3.1522630583
38.198,3.1524190801
38.320,3.1523897415
38.443,3.1530591134
38.565,3.1532541983
38.687,3.1535585993
38.809,3.1527064496
38.932,3.1525268896
39.054,3.1521963703
39.176,3.1521129662
39.299,3.1519018678
39.421,3.1518823277
39.543,3.1514795500
39.666,3.1520929225
39.788,3.1522941643
39.910,3.1521033273
40.033,3.1519318906
40.155,3.1516674564
40.277,3.1514836810
40.400,3.1514064902
40.522,3.1513382625
40.644,3.1511821198
40.767,3.1510475803
40.889,3.1510985984
41.011,3.1509521622
41.134,3.1509629703
41.257,3.1509593772
41.380,3.1508111008
41.503,3.1508292320
41.625,3.1510031109
41.748,3.1506641062
41.870,3.1507583855
41.992,3.1507153196
42.115,3.1505044390
42.237,3.1513782065
42.359,3.1514209053
42.481,3.1515043359
42.604,3.1514992882
42.726,3.1513203566
42.848,3.1512867712
42.971,3.1512140708
43.093,3.1510379937
43.215,3.1508337409
43.338,3.1507432574
43.460,3.1504360785
43.582,3.1502099637
43.705,3.1504553107
43.827,3.1507032903
43.949,3.1503215000
44.072,3.1497838898
44.194,3.1498135027
44.316,3.1495531387
44.439,3.1498029953
44.561,3.1511908828
44.683,3.1508947461
44.805,3.1495600236
44.928,3.1492557600
45.050,3.1493658542
45.172,3.1491193863
45.295,3.1503488659
45.417,3.1508961235
45.539,3.1507827922
45.662,3.1506340833
45.784,3.1500683181
45.906,3.1489954570
46.029,3.1487712999
46.151,3.1487322593
46.273,3.1485754746
46.396,3.1484806238
46.518,3.1483603667
46.640,3.1484212515
46.763,3.1482581815
46.885,3.1483562346
47.007,3.1483300644
47.129,3.1484487913
47.252,3.1485092820
47.374,3.1484760666
47.496,3.1485603277
47.619,3.1486744078
47.741,3.1490642080
47.863,3.1488715278
47.986,3.1487767586
48.108,3.1484912178
48.230,3.1487283206
48.353,3.1485884332
48.475,3.1478975670
48.597,3.1476831840
48.720,3.1476563592
48.842,3.1473824268
48.964,3.1479861221
49.087,3.1483032158
49.209,3.1480724943
49.331,3.1479654673
49.454,3.1476372537
49.576,3.1480752490
49.698,3.1479636812
49.820,3.1479530743
49.943,3.1478269437
50.065,3.1475146553
50.187,3.1474022777
50.310,3.1473452129
50.432,3.1475105232
50.554,3.1475812866
50.677,3.1473711418
50.799,3.1475229196
50.921,3.1471323873
51.044,3.1468948697
51.166,3.1467915308
51.288,3.1467881394
51.411,3.1468402826
51.533,3.1469967604
51.655,3.1469988191
51.778,3.1467147324
51.900,3.1466606797
52.022,3.1467303057
52.145,3.1466806155
52.267,3.1465036583
52.389,3.1464816202
52.511,3.1462332117
52.634,3.1462357309
52.756,3.1463507691
52.878,3.1462607516
53.001,3.1459150320
53.123,3.1463576560
53.245,3.1461258064
53.368,3.1460924399
53.490,3.1460133110
53.612,3.1458159832
53.735,3.1457048718
53.857,3.1457419671
53.979,3.1460748577
54.102,3.1464677259
54.224,3.1459072527
54.346,3.1456893000
54.469,3.1455492987
54.591,3.1453893578
54.713,3.1454899066
54.835,3.1454345565
54.958,3.1453637027
55.080,3.1452585067
55.202,3.1451605352
55.325,3.1448287495
55.447,3.1450188426
55.569,3.1451426343
55.692,3.1449242768
55.814,3.1446138928
55.936,3.1448383191
56.059,3.1447673390
56.181,3.1445973642
56.303,3.1444252216
56.426,3.1442869729
56.548,3.1443714739
56.670,3.1443949278
56.793,3.1442433033
56.915,3.1441249229
57.037,3.1438813099
57.160,3.1437561138
57.282,3.1440601860
57.404,3.1438921456
57.526,3.1435756178
57.649,3.1437015267
57.771,3.1435601970
57.893,3.1437133169
58.016,3.1433439814
58.138,3.1434183269
58.260,3.1431900601
58.383,3.1433808277
58.505,3.1432089651
58.627,3.1431666512
58.750,3.1432047844
58.872,3.1430312831
58.994,3.1428113874
59.117,3.1425647512
59.239,3.1428797712
59.361,3.1427205059
59.484,3.1426534551
59.606,3.1422558181
59.728,3.1424395996
59.851,3.1423504970
59.974,3.1422616969
60.097,3.1425803079
60.220,3.1422590636
60.342,3.1424712704
60.465,3.1410390428
60.587,3.1399060076
60.709,3.1397668922
60.831,3.1399486217
60.954,3.1399950653
61.076,3.1401277658
61.198,3.1397957756
61.321,3.1398435862
61.443,3.1395933423
61.565,3.1396222747
61.688,3.1394382773
61.810,3.1395410019
61.932,3.1393289754
62.055,3.1394341833
62.177,3.1393633198
62.299,3.1394253648
62.422,3.1392526813
62.544,3.1392242044
62.666,3.1389241399
62.789,3.1392131057
62.911,3.1389845403
63.033,3.1389158779
63.156,3.1387149988
63.278,3.1391085045
63.400,3.1388041035
63.522,3.1389709576
63.645,3.1388282669
63.767,3.1389211808
63.889,3.1384573397
64.012,3.1384256874
64.134,3.1385754584
64.256,3.1382604299
